Domain,StartTime,StartDay,StartHour,PingOutput
fr.wikipedia.org,18:54.4,16,3,35
aliexpress.com,18:54.5,16,3,115
nl.wikipedia.org,18:54.6,16,3,34
ebay.com,18:54.6,16,3,Request timed out
dailymail.co.uk,18:58.4,16,3,5
apple.com,18:58.4,16,3,5
byjus.com,18:58.5,16,3,13
milliyet.com.tr,18:58.6,16,3,215
epfindia.gov.in,18:58.8,16,3,Request timed out
espncricinfo.com,19:02.8,16,3,Request timed out
bbc.co.uk,19:06.9,16,3,3
byjus.com,19:06.9,16,3,13
aliexpress.com,19:06.9,16,3,115
ja.wikipedia.org,19:07.0,16,3,35
ebay.co.uk,19:07.1,16,3,Request timed out
ja.wikipedia.org,19:10.9,16,3,35
facebook.com,19:10.9,16,3,3
craigslist.org,19:10.9,16,3,30
mail.ru,19:11.0,16,3,200
kompas.com,19:11.2,16,3,Request timed out
naver.com,19:14.9,16,3,Request timed out
britannica.com,19:18.9,16,3,Request timed out
globo.com,19:22.9,16,3,142
nih.gov,19:23.0,16,3,Request timed out
nytimes.com,19:26.9,16,3,5
amazon.co.uk,19:26.9,16,3,109
accuweather.com,19:27.0,16,3,115
onet.pl,19:27.3,16,3,5
booking.com,19:27.3,16,3,Request timed out
id.wikipedia.org,19:30.8,16,3,41
ebay.co.uk,19:30.9,16,3,Request timed out
omegle.com,19:34.9,16,3,14
britannica.com,19:34.9,16,3,Request timed out
hm.com,19:38.8,16,3,5
booking.com,19:38.9,16,3,Request timed out
hotstar.com,19:42.9,16,3,107
ar.wikipedia.org,19:43.1,16,3,35
india.com,19:43.1,16,3,5
bbc.co.uk,19:43.2,16,3,4
imdb.com,19:43.2,16,3,37
en.wikipedia.org,19:43.2,16,3,36
healthline.com,19:43.3,16,3,4
m.wikipedia.org,19:43.3,16,3,35
pinterest.com,19:43.4,16,3,4
facebook.com,19:43.4,16,3,4
instagram.com,19:43.4,16,3,4
india.com,19:43.4,16,3,5
brainly.co.id,19:43.5,16,3,13
twitter.com,19:43.5,16,3,40
byjus.com,19:43.5,16,3,13
cambridge.org,19:43.6,16,3,13
mercadolivre.com.br,19:43.6,16,3,4
ar.wikipedia.org,19:43.6,16,3,34
mail.ru,19:43.7,16,3,257
detik.com,19:44.0,16,3,256
merriam-webster.com,19:44.2,16,3,4
magazineluiza.com.br,19:44.3,16,3,3
accuweather.com,19:44.3,16,3,6
linkedin.com,19:44.3,16,3,3
goal.com,19:44.4,16,3,Request timed out
healthline.com,19:48.4,16,3,4
fandom.com,19:48.4,16,3,4
etsy.com,19:48.4,16,3,4
mail.ru,19:48.4,16,3,204
fandom.com,19:48.6,16,3,4
gsmarena.com,19:48.7,16,3,130
cnn.com,19:48.8,16,3,4
dictionary.com,19:48.8,16,3,3
hotstar.com,19:48.9,16,3,3
cnn.com,19:48.9,16,3,3
bbc.com,19:48.9,16,3,4
milliyet.com.tr,19:48.9,16,3,158
healthline.com,19:49.1,16,3,3
nl.wikipedia.org,19:49.1,16,3,34
craigslist.org,19:49.1,16,3,29
indiamart.com,19:49.2,16,3,14
hepsiburada.com,19:49.2,16,3,150
indiatimes.com,19:49.4,16,3,5
amazon.co.jp,19:49.4,16,3,56
live.com,19:49.5,16,3,4
flipkart.com,19:49.6,16,3,244
allegro.pl,19:49.9,16,3,137
twitter.com,19:50.0,16,3,40
ebay.co.uk,19:50.1,16,3,Request timed out
amazon.fr,19:53.8,16,3,111
india.com,19:54.0,16,3,5
bestbuy.com,19:54.0,16,3,35
amazon.es,19:54.1,16,3,109
medicalnewstoday.com,19:54.2,16,3,3
ikea.com,19:54.3,16,3,52
mayoclinic.org,19:54.4,16,3,Request timed out
onet.pl,19:58.4,16,3,4
hm.com,19:58.4,16,3,4
adobe.com,19:58.4,16,3,5
hotstar.com,19:58.4,16,3,5
milliyet.com.tr,19:58.4,16,3,164
americanas.com.br,19:58.6,16,3,Request timed out
nike.com,20:02.3,16,3,5
ebay.com,20:02.4,16,3,Request timed out
finance.yahoo.com,20:06.4,16,3,Request timed out
nih.gov,20:10.3,16,3,Request timed out
dictionary.com,20:14.4,16,3,5
homedepot.com,20:14.4,16,3,13
nike.com,20:14.4,16,3,3
bestbuy.com,20:14.4,16,3,34
kompas.com,20:14.5,16,3,Request timed out
kompas.com,20:18.3,16,3,Request timed out
apple.com,20:22.4,16,3,6
amazon.co.jp,20:22.4,16,3,57
merriam-webster.com,20:22.5,16,3,4
cnn.com,20:22.5,16,3,5
medlineplus.gov,20:22.5,16,3,3
ikea.com,20:22.6,16,3,52
ar.wikipedia.org,20:22.7,16,3,36
india.com,20:22.8,16,3,5
merriam-webster.com,20:22.8,16,3,4
mayoclinic.org,20:22.9,16,3,Request timed out
live.com,20:26.9,16,3,4
finance.yahoo.com,20:26.9,16,3,Request timed out
americanas.com.br,20:30.9,16,3,Request timed out
dailymail.co.uk,20:34.8,16,3,7
indiatimes.com,20:34.9,16,3,4
es.wikipedia.org,20:35.0,16,3,34
live.com,20:35.0,16,3,4
milliyet.com.tr,20:35.1,16,3,158
amazon.co.jp,20:35.2,16,3,56
ikea.com,20:35.3,16,3,52
mayoclinic.org,20:35.4,16,3,Request timed out
goal.com,20:39.4,16,3,Request timed out
naver.com,20:43.3,16,3,Request timed out
espn.com,20:47.4,16,3,4
epfindia.gov.in,20:47.4,16,3,Request timed out
kinopoisk.ru,20:51.4,16,3,154
magazineluiza.com.br,20:51.7,16,3,12
es.wikipedia.org,20:51.7,16,3,35
id.wikipedia.org,20:51.8,16,3,34
fandom.com,20:51.8,16,3,3
canva.com,20:51.8,16,3,13
mayoclinic.org,20:51.9,16,3,Request timed out
pinterest.com,20:55.8,16,3,8
omegle.com,20:55.9,16,3,13
cambridge.org,20:55.9,16,3,14
marca.com,20:55.9,16,3,109
amazon.fr,20:56.1,16,3,111
amazon.co.jp,20:56.3,16,3,56
cambridge.org,20:56.4,16,3,14
es.wikipedia.org,20:56.4,16,3,36
investing.com,20:56.4,16,3,12
investopedia.com,20:56.5,16,3,5
onet.pl,20:56.5,16,3,3
brainly.co.id,20:56.5,16,3,14
twitter.com,20:56.6,16,3,40
mayoclinic.org,20:56.6,16,3,Request timed out
mail.ru,21:00.4,16,3,203
allegro.pl,21:00.7,16,3,137
linkedin.com,21:00.9,16,3,4
investopedia.com,21:00.9,16,3,4
kinopoisk.ru,21:00.9,16,3,154
hepsiburada.com,21:01.1,16,3,156
medlineplus.gov,21:01.2,16,3,4
dailymotion.com,21:01.3,16,3,106
microsoft.com,21:01.4,16,3,Request timed out
amazon.es,21:05.3,16,3,110
apple.com,21:05.5,16,3,4
amazon.co.jp,21:05.5,16,3,58
facebook.com,21:05.6,16,3,4
merriam-webster.com,21:05.6,16,3,4
it.wikipedia.org,21:05.7,16,3,35
milliyet.com.tr,21:05.7,16,3,159
nytimes.com,21:05.9,16,3,3
fandom.com,21:05.9,16,3,5
amazon.co.jp,21:05.9,16,3,107
etsy.com,21:06.0,16,3,45
finance.yahoo.com,21:06.1,16,3,Request timed out
canva.com,21:09.9,16,3,14
ja.wikipedia.org,21:09.9,16,3,35
apple.com,21:10.0,16,3,5
investopedia.com,21:10.0,16,3,5
ilovepdf.com,21:10.0,16,3,13
de.wikipedia.org,21:10.0,16,3,35
espncricinfo.com,21:10.1,16,3,Request timed out
microsoft.com,21:13.8,16,3,Request timed out
accuweather.com,21:17.9,16,3,5
globo.com,21:17.9,16,3,142
nytimes.com,21:18.3,16,3,4
mayoclinic.org,21:18.3,16,3,Request timed out
finance.yahoo.com,21:21.8,16,3,Request timed out
amazon.com,21:25.9,16,3,34
ebay.com,21:25.9,16,3,Request timed out
clevelandclinic.org,21:29.8,16,3,28
clevelandclinic.org,21:29.9,16,3,28
omegle.com,21:29.9,16,3,15
homedepot.com,21:30.0,16,3,13
bbc.com,21:30.1,16,3,4
allegro.pl,21:30.1,16,3,127
mayoclinic.org,21:30.4,16,3,Request timed out
goal.com,21:34.4,16,3,Request timed out
amazon.co.jp,21:38.4,16,3,56
byjus.com,21:38.4,16,3,13
ndtv.com,21:38.5,16,3,5
byjus.com,21:38.5,16,3,13
mercadolivre.com.br,21:38.5,16,3,3
apple.com,21:38.6,16,3,4
facebook.com,21:38.6,16,3,4
linkedin.com,21:38.6,16,3,4
cdc.gov,21:38.6,16,3,Request timed out
mercadolivre.com.br,21:42.4,16,3,4
ilovepdf.com,21:42.4,16,3,13
bbc.com,21:42.4,16,3,6
nytimes.com,21:42.4,16,3,5
byjus.com,21:42.4,16,3,15
dailymotion.com,21:42.5,16,3,147
nih.gov,21:42.6,16,3,Request timed out
etsy.com,21:46.3,16,3,5
indiatimes.com,21:46.4,16,3,4
kompas.com,21:46.4,16,3,Request timed out
facebook.com,21:50.4,16,3,4
nl.wikipedia.org,21:50.4,16,3,36
naver.com,21:50.4,16,3,Request timed out
brainly.co.id,21:54.4,16,3,13
epfindia.gov.in,21:54.4,16,3,Request timed out
pinterest.com,21:58.4,16,3,4
indeed.com,21:58.4,16,3,119
bbc.co.uk,21:58.5,16,3,4
britannica.com,21:58.6,16,3,Request timed out
kompas.com,22:02.4,16,3,Request timed out
byjus.com,22:06.4,16,3,14
indeed.com,22:06.4,16,3,13
clevelandclinic.org,22:06.4,16,3,28
kinopoisk.ru,22:06.5,16,3,154
gsmarena.com,22:06.8,16,3,131
detik.com,22:06.9,16,3,250
investing.com,22:07.2,16,3,12
ilovepdf.com,22:07.2,16,3,14
globo.com,22:07.2,16,3,142
kompas.com,22:07.4,16,3,Request timed out
mercadolivre.com.br,22:11.3,16,3,12
amazon.com,22:11.4,16,3,34
espncricinfo.com,22:11.4,16,3,Request timed out
ilovepdf.com,22:15.4,16,3,14
ilovepdf.com,22:15.4,16,3,12
gsmarena.com,22:15.4,16,3,131
mayoclinic.org,22:15.5,16,3,Request timed out
booking.com,22:19.3,16,3,Request timed out
imdb.com,22:23.4,16,3,37
cnn.com,22:23.4,16,3,4
id.wikipedia.org,22:23.4,16,3,36
pinterest.com,22:23.5,16,3,5
canva.com,22:23.5,16,3,13
americanas.com.br,22:23.5,16,3,Request timed out
cnn.com,22:27.3,16,3,5
epfindia.gov.in,22:27.4,16,3,Request timed out
ilovepdf.com,22:31.4,16,3,14
live.com,22:31.4,16,3,4
kinopoisk.ru,22:31.4,16,3,156
gsmarena.com,22:31.6,16,3,130
cookpad.com,22:31.7,16,3,4
globo.com,22:31.8,16,3,185
amazon.in,22:32.1,16,3,110
instagram.com,22:32.4,16,3,3
kompas.com,22:32.4,16,3,Request timed out
amazon.fr,22:36.3,16,3,112
americanas.com.br,22:36.5,16,3,Request timed out
byjus.com,22:40.4,16,3,14
nl.wikipedia.org,22:40.4,16,3,35
mayoclinic.org,22:40.4,16,3,Request timed out
goal.com,22:44.4,16,3,Request timed out
m.wikipedia.org,22:48.3,16,3,35
mercadolivre.com.br,22:48.4,16,3,4
live.com,22:48.4,16,3,4
pinterest.com,22:48.5,16,3,5
ilovepdf.com,22:48.5,16,3,12
imdb.com,22:48.5,16,3,36
instagram.com,22:48.6,16,3,3
amazon.co.uk,22:48.6,16,3,109
milliyet.com.tr,22:48.7,16,3,163
ja.wikipedia.org,22:48.9,16,3,35
amazon.de,22:48.9,16,3,110
mail.ru,22:49.1,16,3,203
nike.com,22:49.4,16,3,4
youtube.com,22:49.5,16,3,14
craigslist.org,22:49.5,16,3,29
facebook.com,22:49.5,16,3,4
it.wikipedia.org,22:49.6,16,3,34
nih.gov,22:49.6,16,3,Request timed out
mercadolivre.com.br,22:53.4,16,3,4
amazon.it,22:53.4,16,3,110
cdc.gov,22:53.5,16,3,Request timed out
merriam-webster.com,22:57.3,16,3,5
gsmarena.com,22:57.4,16,3,131
ja.wikipedia.org,22:57.5,16,3,35
detik.com,22:57.6,16,3,260
