Domain,StartTime,StartDay,StartHour,PingOutput
it.wikipedia.org,24:20.9,15,7,35
milliyet.com.tr,24:20.9,15,7,158
fandom.com,24:21.1,15,7,3
id.wikipedia.org,24:21.1,15,7,34
gsmarena.com,24:21.1,15,7,135
mail.yahoo.com,24:21.3,15,7,Request timed out
merriam-webster.com,24:24.9,15,7,4
espn.com,24:24.9,15,7,3
hotstar.com,24:25.0,15,7,3
omegle.com,24:25.0,15,7,14
youtube.com,24:25.0,15,7,14
fr.wikipedia.org,24:25.0,15,7,34
americanas.com.br,24:25.1,15,7,Request timed out
kinopoisk.ru,24:28.9,15,7,154
ikea.com,24:29.1,15,7,13
it.wikipedia.org,24:29.1,15,7,35
ikea.com,24:29.2,15,7,13
britannica.com,24:29.2,15,7,Request timed out
fr.wikipedia.org,24:32.9,15,7,35
ar.wikipedia.org,24:33.0,15,7,34
espncricinfo.com,24:33.0,15,7,Request timed out
ndtv.com,24:36.9,15,7,5
microsoft.com,24:37.0,15,7,Request timed out
pinterest.com,24:40.9,15,7,4
linkedin.com,24:40.9,15,7,4
detik.com,24:41.0,15,7,264
hepsiburada.com,24:41.2,15,7,175
hm.com,24:41.4,15,7,124
adobe.com,24:41.7,15,7,5
epfindia.gov.in,24:41.7,15,7,Request timed out
goal.com,24:45.4,15,7,Request timed out
ar.wikipedia.org,24:49.4,15,7,35
ilovepdf.com,24:49.5,15,7,13
amazon.es,24:49.5,15,7,109
fandom.com,24:49.7,15,7,8
cookpad.com,24:49.7,15,7,4
espn.com,24:49.7,15,7,3
investopedia.com,24:49.7,15,7,3
indiatimes.com,24:49.7,15,7,5
globo.com,24:49.8,15,7,142
dictionary.com,24:50.1,15,7,4
indiatimes.com,24:50.1,15,7,4
globo.com,24:50.1,15,7,144
healthline.com,24:50.2,15,7,3
kompas.com,24:50.3,15,7,Request timed out
investopedia.com,24:53.9,15,7,4
ar.wikipedia.org,24:54.0,15,7,34
microsoft.com,24:54.0,15,7,Request timed out
indiatimes.com,24:57.9,15,7,4
medlineplus.gov,24:58.0,15,7,4
es.wikipedia.org,24:58.0,15,7,34
amazon.com,24:58.0,15,7,38
dictionary.com,24:58.1,15,7,4
goal.com,24:58.1,15,7,Request timed out
investing.com,25:01.9,15,7,13
mail.yahoo.com,25:02.0,15,7,Request timed out
fr.wikipedia.org,25:05.9,15,7,34
milliyet.com.tr,25:06.0,15,7,158
detik.com,25:06.2,15,7,Request timed out
mail.ru,25:09.9,15,7,203
investing.com,25:10.4,15,7,12
milliyet.com.tr,25:10.5,15,7,158
byjus.com,25:10.6,15,7,13
indiamart.com,25:10.7,15,7,13
craigslist.org,25:10.7,15,7,29
amazon.it,25:10.7,15,7,109
booking.com,25:10.9,15,7,Request timed out
as.com,25:14.4,15,7,5
cnn.com,25:14.5,15,7,9
nytimes.com,25:14.5,15,7,4
omegle.com,25:14.6,15,7,14
amazon.co.jp,25:14.6,15,7,55
americanas.com.br,25:14.7,15,7,Request timed out
fandom.com,25:18.4,15,7,5
dailymail.co.uk,25:18.5,15,7,5
aliexpress.com,25:18.5,15,7,116
de.wikipedia.org,25:18.7,15,7,34
hepsiburada.com,25:18.7,15,7,150
flipkart.com,25:19.0,15,7,231
amazon.com,25:19.2,15,7,36
magazineluiza.com.br,25:19.3,15,7,5
amazon.in,25:19.3,15,7,114
twitter.com,25:19.5,15,7,41
mail.ru,25:19.5,15,7,279
mayoclinic.org,25:19.8,15,7,Request timed out
gsmarena.com,25:23.4,15,7,142
pinterest.com,25:23.6,15,7,5
indiamart.com,25:23.6,15,7,14
amazon.fr,25:23.6,15,7,111
cnn.com,25:23.8,15,7,3
detik.com,25:23.8,15,7,244
it.wikipedia.org,25:24.0,15,7,36
nih.gov,25:24.1,15,7,Request timed out
investopedia.com,25:27.9,15,7,4
fr.wikipedia.org,25:28.0,15,7,35
ar.wikipedia.org,25:28.0,15,7,34
amazon.de,25:28.0,15,7,109
gsmarena.com,25:28.2,15,7,135
ndtv.com,25:28.3,15,7,6
amazon.it,25:28.4,15,7,109
dictionary.com,25:28.5,15,7,5
es.wikipedia.org,25:28.5,15,7,37
ar.wikipedia.org,25:28.5,15,7,35
ja.wikipedia.org,25:28.6,15,7,36
hurriyet.com.tr,25:28.7,15,7,158
cricbuzz.com,25:28.9,15,7,254
nike.com,25:29.2,15,7,4
nytimes.com,25:29.2,15,7,3
dailymail.co.uk,25:29.2,15,7,5
flipkart.com,25:29.2,15,7,229
medlineplus.gov,25:29.5,15,7,4
mail.ru,25:29.5,15,7,280
gsmarena.com,25:29.8,15,7,138
mercadolivre.com.br,25:30.0,15,7,4
amazon.com,25:30.0,15,7,35
accuweather.com,25:30.0,15,7,5
as.com,25:30.1,15,7,5
twitter.com,25:30.1,15,7,41
magazineluiza.com.br,25:30.1,15,7,5
healthline.com,25:30.1,15,7,3
allegro.pl,25:30.2,15,7,134
mayoclinic.org,25:30.3,15,7,Request timed out
ndtv.com,25:33.9,15,7,5
epfindia.gov.in,25:34.0,15,7,Request timed out
nike.com,25:37.9,15,7,3
naver.com,25:38.0,15,7,Request timed out
live.com,25:41.9,15,7,4
ilovepdf.com,25:42.0,15,7,13
amazon.co.jp,25:42.0,15,7,56
goal.com,25:42.0,15,7,Request timed out
bbc.com,25:45.9,15,7,4
linkedin.com,25:46.0,15,7,4
adobe.com,25:46.0,15,7,5
collinsdictionary.com,25:46.0,15,7,14
nike.com,25:46.0,15,7,3
finance.yahoo.com,25:46.1,15,7,Request timed out
americanas.com.br,25:49.9,15,7,Request timed out
it.wikipedia.org,25:53.9,15,7,36
indeed.com,25:54.0,15,7,13
nytimes.com,25:54.0,15,7,4
bestbuy.com,25:54.0,15,7,34
youtube.com,25:54.1,15,7,14
marca.com,25:54.1,15,7,109
medlineplus.gov,25:54.3,15,7,4
live.com,25:54.3,15,7,3
ikea.com,25:54.3,15,7,13
medicalnewstoday.com,25:54.3,15,7,5
brainly.co.id,25:54.4,15,7,13
imdb.com,25:54.4,15,7,38
etsy.com,25:54.5,15,7,6
globo.com,25:54.5,15,7,142
cdc.gov,25:54.8,15,7,Request timed out
bbc.com,25:58.4,15,7,8
kompas.com,25:58.5,15,7,Request timed out
healthline.com,26:02.4,15,7,122
pinterest.com,26:02.6,15,7,57
americanas.com.br,26:02.7,15,7,Request timed out
adobe.com,26:06.4,15,7,4
hotstar.com,26:06.5,15,7,4
nike.com,26:06.5,15,7,6
investing.com,26:06.5,15,7,13
hotstar.com,26:06.5,15,7,3
cookpad.com,26:06.6,15,7,3
americanas.com.br,26:06.6,15,7,Request timed out
medicalnewstoday.com,26:10.4,15,7,6
m.wikipedia.org,26:10.5,15,7,34
fr.wikipedia.org,26:10.5,15,7,35
canva.com,26:10.6,15,7,13
nytimes.com,26:10.6,15,7,4
finance.yahoo.com,26:10.7,15,7,Request timed out
medicalnewstoday.com,26:14.4,15,7,3
craigslist.org,26:14.5,15,7,29
ja.wikipedia.org,26:14.5,15,7,35
nl.wikipedia.org,26:14.5,15,7,35
etsy.com,26:14.6,15,7,5
onet.pl,26:14.6,15,7,4
mail.ru,26:14.6,15,7,202
medlineplus.gov,26:14.8,15,7,4
medicalnewstoday.com,26:14.9,15,7,4
flipkart.com,26:14.9,15,7,243
fandom.com,26:15.2,15,7,8
adobe.com,26:15.3,15,7,4
as.com,26:15.3,15,7,5
as.com,26:15.4,15,7,4
brainly.co.id,26:15.4,15,7,13
detik.com,26:15.5,15,7,Request timed out
booking.com,26:19.4,15,7,Request timed out
instagram.com,26:23.4,15,7,4
indeed.com,26:23.5,15,7,14
imdb.com,26:23.5,15,7,38
ebay.co.uk,26:23.6,15,7,Request timed out
finance.yahoo.com,26:27.4,15,7,Request timed out
goal.com,26:31.4,15,7,Request timed out
dailymail.co.uk,26:35.4,15,7,6
youtube.com,26:35.5,15,7,15
indeed.com,26:35.5,15,7,14
aliexpress.com,26:35.6,15,7,116
amazon.com,26:35.7,15,7,37
craigslist.org,26:35.7,15,7,28
facebook.com,26:35.8,15,7,3
flipkart.com,26:35.8,15,7,239
nytimes.com,26:36.1,15,7,5
kinopoisk.ru,26:36.1,15,7,153
allegro.pl,26:36.5,15,7,134
indiatimes.com,26:36.8,15,7,5
amazon.in,26:36.8,15,7,110
homedepot.com,26:37.0,15,7,14
de.wikipedia.org,26:37.0,15,7,35
bbc.co.uk,26:37.0,15,7,4
booking.com,26:37.1,15,7,Request timed out
bbc.co.uk,26:40.9,15,7,4
fandom.com,26:41.0,15,7,4
hotstar.com,26:41.0,15,7,4
omegle.com,26:41.0,15,7,14
accuweather.com,26:41.0,15,7,4
adobe.com,26:41.1,15,7,4
homedepot.com,26:41.1,15,7,13
nytimes.com,26:41.1,15,7,4
mail.yahoo.com,26:41.1,15,7,Request timed out
imdb.com,26:44.9,15,7,37
cdc.gov,26:45.0,15,7,Request timed out
nl.wikipedia.org,26:48.9,15,7,34
dictionary.com,26:49.0,15,7,4
twitter.com,26:49.0,15,7,41
omegle.com,26:49.1,15,7,14
aliexpress.com,26:49.1,15,7,115
cookpad.com,26:49.2,15,7,4
goal.com,26:49.2,15,7,Request timed out
byjus.com,26:52.9,15,7,13
amazon.de,26:53.0,15,7,110
en.wikipedia.org,26:53.1,15,7,34
ebay.com,26:53.2,15,7,Request timed out
amazon.fr,26:56.9,15,7,111
nl.wikipedia.org,26:57.1,15,7,35
medlineplus.gov,26:57.1,15,7,3
cambridge.org,26:57.1,15,7,13
naver.com,26:57.2,15,7,Request timed out
amazon.es,27:00.9,15,7,110
investing.com,27:01.1,15,7,12
hurriyet.com.tr,27:01.1,15,7,158
nl.wikipedia.org,27:01.3,15,7,34
nl.wikipedia.org,27:01.3,15,7,35
it.wikipedia.org,27:01.4,15,7,34
fr.wikipedia.org,27:01.4,15,7,35
amazon.fr,27:01.5,15,7,118
indiatimes.com,27:01.6,15,7,4
dailymotion.com,27:01.6,15,7,105
brainly.co.id,27:01.7,15,7,13
healthline.com,27:01.8,15,7,3
kompas.com,27:01.8,15,7,Request timed out
en.wikipedia.org,27:05.4,15,7,35
linkedin.com,27:05.5,15,7,4
ikea.com,27:05.5,15,7,14
amazon.co.uk,27:05.5,15,7,110
amazon.de,27:05.7,15,7,110
milliyet.com.tr,27:05.8,15,7,158
accuweather.com,27:06.0,15,7,4
hotstar.com,27:06.0,15,7,3
fr.wikipedia.org,27:06.0,15,7,35
linkedin.com,27:06.1,15,7,4
it.wikipedia.org,27:06.1,15,7,34
mayoclinic.org,27:06.1,15,7,Request timed out
es.wikipedia.org,27:09.9,15,7,117
nytimes.com,27:10.1,15,7,11
bbc.co.uk,27:10.1,15,7,117
cnn.com,27:10.2,15,7,5
linkedin.com,27:10.3,15,7,4
imdb.com,27:10.3,15,7,39
magazineluiza.com.br,27:10.4,15,7,5
amazon.co.jp,27:10.4,15,7,56
en.wikipedia.org,27:10.5,15,7,35
twitter.com,27:10.5,15,7,41
milliyet.com.tr,27:10.6,15,7,159
medlineplus.gov,27:10.8,15,7,4
linkedin.com,27:10.8,15,7,4
espn.com,27:10.8,15,7,3
detik.com,27:10.8,15,7,Request timed out
amazon.de,27:14.4,15,7,111
booking.com,27:14.6,15,7,Request timed out
merriam-webster.com,27:18.4,15,7,5
ndtv.com,27:18.5,15,7,5
youtube.com,27:18.5,15,7,14
ebay.com,27:18.5,15,7,Request timed out
mail.yahoo.com,27:22.4,15,7,Request timed out
ilovepdf.com,27:26.4,15,7,14
milliyet.com.tr,27:26.5,15,7,158
amazon.co.jp,27:26.7,15,7,74
ndtv.com,27:26.7,15,7,5
dictionary.com,27:26.8,15,7,5
naver.com,27:26.8,15,7,Request timed out
amazon.fr,27:30.4,15,7,111
hm.com,27:30.6,15,7,5
de.wikipedia.org,27:30.6,15,7,35
amazon.co.jp,27:30.7,15,7,56
hotstar.com,27:30.7,15,7,7
magazineluiza.com.br,27:30.8,15,7,5
britannica.com,27:30.8,15,7,Request timed out
cambridge.org,27:34.4,15,7,14
fandom.com,27:34.5,15,7,4
onet.pl,27:34.5,15,7,3
nih.gov,27:34.5,15,7,Request timed out
epfindia.gov.in,27:38.4,15,7,Request timed out
ilovepdf.com,27:42.4,15,7,14
investopedia.com,27:42.5,15,7,4
as.com,27:42.5,15,7,5
espn.com,27:42.6,15,7,4
dailymail.co.uk,27:42.6,15,7,5
nytimes.com,27:42.6,15,7,5
ndtv.com,27:42.7,15,7,5
as.com,27:42.7,15,7,5
fandom.com,27:42.7,15,7,4
nike.com,27:42.7,15,7,3
dictionary.com,27:42.8,15,7,4
dailymail.co.uk,27:42.8,15,7,4
bbc.com,27:42.8,15,7,4
medicalnewstoday.com,27:43.0,15,7,3
as.com,27:43.0,15,7,6
en.wikipedia.org,27:43.0,15,7,35
fr.wikipedia.org,27:43.1,15,7,35
clevelandclinic.org,27:43.1,15,7,27
cnn.com,27:43.1,15,7,4
ar.wikipedia.org,27:43.2,15,7,34
ilovepdf.com,27:43.2,15,7,14
allegro.pl,27:43.2,15,7,135
dailymail.co.uk,27:43.4,15,7,4
americanas.com.br,27:43.4,15,7,Request timed out
fr.wikipedia.org,27:46.9,15,7,110
merriam-webster.com,27:47.1,15,7,9
homedepot.com,27:47.2,15,7,15
onet.pl,27:47.2,15,7,3
hotstar.com,27:47.2,15,7,3
homedepot.com,27:47.3,15,7,13
amazon.de,27:47.3,15,7,109
mail.yahoo.com,27:47.4,15,7,Request timed out
nike.com,27:51.4,15,7,6
milliyet.com.tr,27:51.5,15,7,159
en.wikipedia.org,27:51.6,15,7,34
collinsdictionary.com,27:51.7,15,7,14
bbc.co.uk,27:51.7,15,7,3
cricbuzz.com,27:51.7,15,7,254
id.wikipedia.org,27:52.0,15,7,34
merriam-webster.com,27:52.1,15,7,3
byjus.com,27:52.1,15,7,14
allegro.pl,27:52.1,15,7,172
it.wikipedia.org,27:52.3,15,7,116
aliexpress.com,27:52.4,15,7,116
accuweather.com,27:52.5,15,7,5
investing.com,27:52.6,15,7,13
linkedin.com,27:52.6,15,7,4
clevelandclinic.org,27:52.6,15,7,27
globo.com,27:52.7,15,7,141
as.com,27:53.0,15,7,4
cdc.gov,27:53.0,15,7,Request timed out
hm.com,27:56.9,15,7,5
hepsiburada.com,27:57.0,15,7,152
amazon.in,27:57.2,15,7,110
hurriyet.com.tr,27:57.3,15,7,207
amazon.co.jp,27:57.5,15,7,117
onet.pl,27:57.6,15,7,4
