Domain,StartTime,StartDay,StartHour,PingOutput
id.wikipedia.org,23:05.2,15,11,35
investing.com,23:05.2,15,11,13
cdc.gov,23:05.3,15,11,Request timed out
omegle.com,23:08.9,15,11,14
apple.com,23:09.0,15,11,6
finance.yahoo.com,23:09.0,15,11,Request timed out
craigslist.org,23:12.9,15,11,29
hurriyet.com.tr,23:13.0,15,11,158
detik.com,23:13.2,15,11,249
cookpad.com,23:13.4,15,11,3
detik.com,23:13.5,15,11,264
amazon.de,23:13.7,15,11,111
ilovepdf.com,23:13.9,15,11,14
accuweather.com,23:13.9,15,11,5
merriam-webster.com,23:14.0,15,11,4
collinsdictionary.com,23:14.0,15,11,13
id.wikipedia.org,23:14.0,15,11,35
kompas.com,23:14.1,15,11,Request timed out
homedepot.com,23:17.9,15,11,14
healthline.com,23:18.0,15,11,4
etsy.com,23:18.0,15,11,4
twitter.com,23:18.0,15,11,40
instagram.com,23:18.1,15,11,79
hotstar.com,23:18.2,15,11,5
flipkart.com,23:18.2,15,11,231
ar.wikipedia.org,23:18.5,15,11,35
fandom.com,23:18.5,15,11,4
dictionary.com,23:18.5,15,11,6
aliexpress.com,23:18.6,15,11,116
live.com,23:18.7,15,11,4
youtube.com,23:18.7,15,11,14
onet.pl,23:18.8,15,11,3
clevelandclinic.org,23:18.8,15,11,27
dictionary.com,23:18.8,15,11,15
pinterest.com,23:18.8,15,11,4
mail.ru,23:18.9,15,11,205
facebook.com,23:19.1,15,11,14
amazon.de,23:19.1,15,11,114
microsoft.com,23:19.3,15,11,Request timed out
mayoclinic.org,23:22.9,15,11,Request timed out
amazon.es,23:26.9,15,11,110
homedepot.com,23:27.1,15,11,13
homedepot.com,23:27.1,15,11,13
hm.com,23:27.1,15,11,5
ebay.co.uk,23:27.2,15,11,Request timed out
goal.com,23:30.9,15,11,Request timed out
brainly.co.id,23:34.9,15,11,14
britannica.com,23:35.0,15,11,Request timed out
amazon.in,23:38.9,15,11,110
id.wikipedia.org,23:39.1,15,11,34
hotstar.com,23:39.1,15,11,3
dailymotion.com,23:39.2,15,11,106
clevelandclinic.org,23:39.3,15,11,27
espncricinfo.com,23:39.3,15,11,Request timed out
imdb.com,23:42.9,15,11,38
apple.com,23:43.0,15,11,6
bbc.co.uk,23:43.0,15,11,5
youtube.com,23:43.0,15,11,14
omegle.com,23:43.1,15,11,14
omegle.com,23:43.1,15,11,14
microsoft.com,23:43.1,15,11,Request timed out
adobe.com,23:46.9,15,11,6
investing.com,23:47.0,15,11,13
cricbuzz.com,23:47.0,15,11,254
linkedin.com,23:47.3,15,11,4
dictionary.com,23:47.3,15,11,5
cambridge.org,23:47.3,15,11,12
nike.com,23:47.3,15,11,4
facebook.com,23:47.4,15,11,4
indiamart.com,23:47.4,15,11,16
hurriyet.com.tr,23:47.4,15,11,159
hotstar.com,23:47.6,15,11,4
booking.com,23:47.6,15,11,Request timed out
mercadolivre.com.br,23:51.4,15,11,4
ikea.com,23:51.5,15,11,12
cricbuzz.com,23:51.5,15,11,254
flipkart.com,23:51.8,15,11,239
amazon.co.jp,23:52.1,15,11,56
naver.com,23:52.1,15,11,Request timed out
mercadolivre.com.br,23:55.9,15,11,4
apple.com,23:56.0,15,11,5
pinterest.com,23:56.0,15,11,4
