Domain,StartTime,StartDay,StartHour,PingOutput
finance.yahoo.com,19:28.7,16,19,Request timed out
investing.com,19:32.4,16,19,12
accuweather.com,19:32.4,16,19,5
booking.com,19:32.4,16,19,Request timed out
amazon.es,19:36.3,16,19,110
globo.com,19:36.5,16,19,197
globo.com,19:36.9,16,19,142
milliyet.com.tr,19:37.1,16,19,158
bestbuy.com,19:37.2,16,19,34
instagram.com,19:37.3,16,19,4
amazon.de,19:37.3,16,19,111
mercadolivre.com.br,19:37.4,16,19,4
indeed.com,19:37.5,16,19,13
britannica.com,19:37.5,16,19,Request timed out
marca.com,19:41.4,16,19,109
bbc.co.uk,19:41.5,16,19,5
as.com,19:41.5,16,19,6
nih.gov,19:41.6,16,19,Request timed out
booking.com,19:45.4,16,19,Request timed out
mail.yahoo.com,19:49.3,16,19,Request timed out
fandom.com,19:53.4,16,19,6
mayoclinic.org,19:53.4,16,19,Request timed out
kinopoisk.ru,19:57.4,16,19,239
linkedin.com,19:57.8,16,19,5
finance.yahoo.com,19:57.9,16,19,Request timed out
instagram.com,20:01.8,16,19,4
amazon.de,20:01.9,16,19,110
britannica.com,20:02.0,16,19,Request timed out
ar.wikipedia.org,20:05.9,16,19,35
ja.wikipedia.org,20:05.9,16,19,35
allegro.pl,20:06.0,16,19,147
aliexpress.com,20:06.3,16,19,116
milliyet.com.tr,20:06.4,16,19,158
as.com,20:06.6,16,19,5
medlineplus.gov,20:06.6,16,19,4
pinterest.com,20:06.6,16,19,4
microsoft.com,20:06.7,16,19,Request timed out
brainly.co.id,20:10.3,16,19,128
cdc.gov,20:10.5,16,19,Request timed out
goal.com,20:14.4,16,19,Request timed out
indeed.com,20:18.4,16,19,13
microsoft.com,20:18.4,16,19,Request timed out
cricbuzz.com,20:22.3,16,19,250
nih.gov,20:22.6,16,19,Request timed out
indiamart.com,20:26.4,16,19,98
canva.com,20:26.5,16,19,17
amazon.com,20:26.5,16,19,36
mail.yahoo.com,20:26.6,16,19,Request timed out
epfindia.gov.in,20:30.4,16,19,Request timed out
nike.com,20:34.3,16,19,4
omegle.com,20:34.4,16,19,14
hurriyet.com.tr,20:34.4,16,19,160
ndtv.com,20:34.6,16,19,5
espncricinfo.com,20:34.6,16,19,Request timed out
imdb.com,20:38.4,16,19,38
healthline.com,20:38.4,16,19,4
aliexpress.com,20:38.4,16,19,116
gsmarena.com,20:38.6,16,19,135
amazon.com,20:38.7,16,19,36
hepsiburada.com,20:38.8,16,19,154
ebay.com,20:38.9,16,19,Request timed out
investing.com,20:42.9,16,19,12
kinopoisk.ru,20:42.9,16,19,148
hurriyet.com.tr,20:43.0,16,19,157
dailymotion.com,20:43.2,16,19,106
medicalnewstoday.com,20:43.3,16,19,4
