Domain,StartTime,StartDay,StartHour,PingOutput
instagram.com,18:55.9,16,23,3
kinopoisk.ru,18:55.9,16,23,148
omegle.com,18:56.3,16,23,14
finance.yahoo.com,18:56.3,16,23,Request timed out
naver.com,18:59.9,16,23,Request timed out
cdc.gov,19:03.8,16,23,Request timed out
hepsiburada.com,19:07.9,16,23,149
britannica.com,19:08.0,16,23,Request timed out
finance.yahoo.com,19:11.8,16,23,Request timed out
etsy.com,19:15.9,16,23,5
bestbuy.com,19:15.9,16,23,34
cricbuzz.com,19:15.9,16,23,254
facebook.com,19:16.2,16,23,4
clevelandclinic.org,19:16.2,16,23,27
youtube.com,19:16.2,16,23,14
es.wikipedia.org,19:16.3,16,23,35
ar.wikipedia.org,19:16.3,16,23,35
live.com,19:16.4,16,23,4
mercadolivre.com.br,19:16.4,16,23,7
booking.com,19:16.4,16,23,Request timed out
medlineplus.gov,19:20.3,16,23,3
byjus.com,19:20.4,16,23,13
hurriyet.com.tr,19:20.4,16,23,203
id.wikipedia.org,19:20.6,16,23,119
omegle.com,19:20.7,16,23,13
kompas.com,19:20.8,16,23,Request timed out
ebay.com,19:24.4,16,23,Request timed out
globo.com,19:28.4,16,23,142
detik.com,19:28.7,16,23,260
investopedia.com,19:28.9,16,23,4
onet.pl,19:29.0,16,23,4
hurriyet.com.tr,19:29.0,16,23,159
instagram.com,19:29.1,16,23,4
gsmarena.com,19:29.2,16,23,136
es.wikipedia.org,19:29.3,16,23,35
ilovepdf.com,19:29.4,16,23,14
cdc.gov,19:29.4,16,23,Request timed out
indeed.com,19:33.4,16,23,14
nl.wikipedia.org,19:33.4,16,23,39
fr.wikipedia.org,19:33.4,16,23,35
collinsdictionary.com,19:33.5,16,23,15
amazon.com,19:33.5,16,23,38
amazon.de,19:33.6,16,23,111
hepsiburada.com,19:33.7,16,23,149
en.wikipedia.org,19:33.9,16,23,35
amazon.co.uk,19:33.9,16,23,110
mail.yahoo.com,19:34.1,16,23,Request timed out
americanas.com.br,19:37.8,16,23,Request timed out
hepsiburada.com,19:41.9,16,23,194
