Domain,StartTime,StartDay,StartHour,PingOutput
espncricinfo.com,27:58.3,14,15,Request timed out
pinterest.com,28:02.2,14,15,5
marca.com,28:02.2,14,15,111
amazon.co.uk,28:02.3,14,15,112
amazon.de,28:02.5,14,15,113
byjus.com,28:02.6,14,15,14
clevelandclinic.org,28:02.6,14,15,28
it.wikipedia.org,28:02.7,14,15,35
ndtv.com,28:02.7,14,15,5
finance.yahoo.com,28:02.8,14,15,Request timed out
homedepot.com,28:06.7,14,15,16
healthline.com,28:06.7,14,15,4
bbc.com,28:06.7,14,15,4
mercadolivre.com.br,28:06.8,14,15,4
pinterest.com,28:06.8,14,15,4
hurriyet.com.tr,28:06.8,14,15,160
cnn.com,28:07.0,14,15,5
linkedin.com,28:07.0,14,15,7
india.com,28:07.1,14,15,5
ebay.co.uk,28:07.1,14,15,Request timed out
amazon.com,28:10.7,14,15,35
youtube.com,28:10.7,14,15,13
en.wikipedia.org,28:10.8,14,15,34
indeed.com,28:10.8,14,15,13
cnn.com,28:10.8,14,15,70
cricbuzz.com,28:10.9,14,15,304
es.wikipedia.org,28:11.2,14,15,34
indiamart.com,28:11.3,14,15,14
investing.com,28:11.3,14,15,13
ebay.co.uk,28:11.4,14,15,Request timed out
bbc.co.uk,28:15.2,14,15,5
amazon.in,28:15.2,14,15,112
cambridge.org,28:15.3,14,15,13
magazineluiza.com.br,28:15.4,14,15,4
facebook.com,28:15.4,14,15,3
allegro.pl,28:15.4,14,15,135
britannica.com,28:15.7,14,15,Request timed out
accuweather.com,28:19.7,14,15,5
amazon.co.jp,28:19.7,14,15,55
indiamart.com,28:19.8,14,15,13
britannica.com,28:19.8,14,15,Request timed out
dailymotion.com,28:23.7,14,15,106
amazon.fr,28:23.8,14,15,110
kinopoisk.ru,28:23.9,14,15,153
live.com,28:24.1,14,15,4
homedepot.com,28:24.1,14,15,14
cdc.gov,28:24.1,14,15,Request timed out
indiatimes.com,28:27.7,14,15,5
medlineplus.gov,28:27.7,14,15,3
kompas.com,28:27.8,14,15,Request timed out
bbc.co.uk,28:31.7,14,15,5
amazon.de,28:31.7,14,15,110
twitter.com,28:31.8,14,15,43
allegro.pl,28:31.9,14,15,134
investing.com,28:32.0,14,15,12
amazon.com,28:32.0,14,15,94
medlineplus.gov,28:32.1,14,15,138
microsoft.com,28:32.3,14,15,Request timed out
amazon.fr,28:36.2,14,15,112
detik.com,28:36.3,14,15,239
bbc.co.uk,28:36.6,14,15,5
magazineluiza.com.br,28:36.6,14,15,3
cricbuzz.com,28:36.6,14,15,251
linkedin.com,28:36.9,14,15,4
allegro.pl,28:36.9,14,15,136
mercadolivre.com.br,28:37.1,14,15,4
amazon.co.uk,28:37.1,14,15,113
amazon.com,28:37.2,14,15,35
merriam-webster.com,28:37.3,14,15,4
americanas.com.br,28:37.6,14,15,Request timed out
nytimes.com,28:41.2,14,15,5
hm.com,28:41.2,14,15,5
cdc.gov,28:41.3,14,15,Request timed out
gsmarena.com,28:45.2,14,15,135
linkedin.com,28:45.3,14,15,4
medlineplus.gov,28:45.4,14,15,4
en.wikipedia.org,28:45.4,14,15,35
india.com,28:45.4,14,15,5
naver.com,28:45.5,14,15,Request timed out
hm.com,28:49.2,14,15,6
instagram.com,28:49.2,14,15,6
byjus.com,28:49.2,14,15,13
hm.com,28:49.2,14,15,6
amazon.co.uk,28:49.2,14,15,111
amazon.fr,28:49.4,14,15,111
amazon.com,28:49.5,14,15,36
epfindia.gov.in,28:49.5,14,15,Request timed out
magazineluiza.com.br,28:53.2,14,15,63
amazon.co.jp,28:53.2,14,15,70
ar.wikipedia.org,28:53.3,14,15,37
kinopoisk.ru,28:53.5,14,15,154
hotstar.com,28:53.8,14,15,4
m.wikipedia.org,28:53.9,14,15,35
nl.wikipedia.org,28:53.9,14,15,35
google.com,28:54.0,14,15,14
marca.com,28:54.0,14,15,108
hepsiburada.com,28:54.1,14,15,149
cdc.gov,28:54.3,14,15,Request timed out
cnn.com,28:58.2,14,15,4
cookpad.com,28:58.2,14,15,5
finance.yahoo.com,28:58.2,14,15,Request timed out
nih.gov,29:02.2,14,15,Request timed out
accuweather.com,29:06.2,14,15,5
gsmarena.com,29:06.2,14,15,136
ebay.co.uk,29:06.4,14,15,Request timed out
investing.com,29:10.2,14,15,16
hurriyet.com.tr,29:10.2,14,15,222
flipkart.com,29:10.6,14,15,231
facebook.com,29:10.9,14,15,5
byjus.com,29:10.9,14,15,15
as.com,29:10.9,14,15,5
collinsdictionary.com,29:11.0,14,15,16
bbc.co.uk,29:11.0,14,15,4
canva.com,29:11.0,14,15,14
indeed.com,29:11.0,14,15,14
britannica.com,29:11.1,14,15,Request timed out
goal.com,29:14.7,14,15,Request timed out
investing.com,29:18.7,14,15,13
naver.com,29:18.7,14,15,Request timed out
espncricinfo.com,29:22.7,14,15,Request timed out
healthline.com,29:26.7,14,15,4
amazon.in,29:26.7,14,15,113
pinterest.com,29:26.9,14,15,5
americanas.com.br,29:26.9,14,15,Request timed out
ikea.com,29:30.7,14,15,13
facebook.com,29:30.7,14,15,4
nike.com,29:30.7,14,15,4
es.wikipedia.org,29:30.8,14,15,35
nl.wikipedia.org,29:30.8,14,15,35
nike.com,29:30.9,14,15,4
cambridge.org,29:30.9,14,15,24
espn.com,29:30.9,14,15,4
ikea.com,29:31.0,14,15,13
espn.com,29:31.0,14,15,4
es.wikipedia.org,29:31.0,14,15,35
gsmarena.com,29:31.1,14,15,134
dailymail.co.uk,29:31.2,14,15,7
nytimes.com,29:31.3,14,15,4
ar.wikipedia.org,29:31.3,14,15,34
canva.com,29:31.3,14,15,14
bbc.com,29:31.3,14,15,3
ndtv.com,29:31.4,14,15,5
amazon.in,29:31.4,14,15,111
imdb.com,29:31.5,14,15,36
collinsdictionary.com,29:31.6,14,15,13
nl.wikipedia.org,29:31.6,14,15,35
healthline.com,29:31.7,14,15,3
amazon.co.jp,29:31.7,14,15,175
ikea.com,29:32.0,14,15,13
americanas.com.br,29:32.0,14,15,Request timed out
omegle.com,29:35.7,14,15,13
investing.com,29:35.7,14,15,12
ar.wikipedia.org,29:35.7,14,15,35
accuweather.com,29:35.8,14,15,4
cricbuzz.com,29:35.8,14,15,251
de.wikipedia.org,29:36.1,14,15,35
investopedia.com,29:36.1,14,15,3
flipkart.com,29:36.1,14,15,230
naver.com,29:36.4,14,15,Request timed out
india.com,29:40.2,14,15,5
ebay.co.uk,29:40.2,14,15,Request timed out
flipkart.com,29:44.2,14,15,244
naver.com,29:44.5,14,15,Request timed out
goal.com,29:48.2,14,15,Request timed out
clevelandclinic.org,29:52.2,14,15,27
finance.yahoo.com,29:52.2,14,15,Request timed out
fandom.com,29:56.2,14,15,4
nike.com,29:56.2,14,15,3
ilovepdf.com,29:56.2,14,15,13
hurriyet.com.tr,29:56.2,14,15,158
amazon.co.jp,29:56.4,14,15,56
adobe.com,29:56.5,14,15,4
amazon.co.jp,29:56.5,14,15,54
ja.wikipedia.org,29:56.6,14,15,35
live.com,29:56.6,14,15,5
clevelandclinic.org,29:56.6,14,15,28
goal.com,29:56.7,14,15,Request timed out
epfindia.gov.in,30:00.7,14,15,Request timed out
naver.com,30:04.7,14,15,Request timed out
milliyet.com.tr,30:08.7,14,15,158
imdb.com,30:08.8,14,15,36
ikea.com,30:08.9,14,15,13
etsy.com,30:08.9,14,15,4
healthline.com,30:09.0,14,15,4
amazon.co.uk,30:09.0,14,15,111
amazon.it,30:09.1,14,15,109
m.wikipedia.org,30:09.3,14,15,35
ar.wikipedia.org,30:09.3,14,15,34
hm.com,30:09.3,14,15,6
ndtv.com,30:09.4,14,15,6
merriam-webster.com,30:09.4,14,15,3
byjus.com,30:09.5,14,15,13
amazon.in,30:09.5,14,15,111
dailymotion.com,30:09.6,14,15,106
dailymail.co.uk,30:09.7,14,15,5
medicalnewstoday.com,30:09.8,14,15,3
nike.com,30:09.8,14,15,3
ebay.co.uk,30:09.8,14,15,Request timed out
britannica.com,30:13.7,14,15,Request timed out
it.wikipedia.org,30:17.7,14,15,35
globo.com,30:17.7,14,15,141
investing.com,30:18.0,14,15,12
marca.com,30:18.1,14,15,110
aliexpress.com,30:18.2,14,15,116
medicalnewstoday.com,30:18.3,14,15,3
accuweather.com,30:18.3,14,15,5
craigslist.org,30:18.4,14,15,29
dictionary.com,30:18.4,14,15,4
espn.com,30:18.4,14,15,3
amazon.it,30:18.4,14,15,109
