Domain,StartTime,StartDay,StartHour,PingOutput
americanas.com.br,18:56.6,17,3,Request timed out
mail.ru,19:00.3,17,3,210
cricbuzz.com,19:00.6,17,3,251
amazon.de,19:00.8,17,3,113
india.com,19:01.0,17,3,5
mail.ru,19:01.0,17,3,197
ilovepdf.com,19:01.2,17,3,13
ilovepdf.com,19:01.2,17,3,16
detik.com,19:01.3,17,3,262
magazineluiza.com.br,19:01.5,17,3,4
indeed.com,19:01.6,17,3,15
pinterest.com,19:01.6,17,3,4
booking.com,19:01.6,17,3,Request timed out
allegro.pl,19:05.3,17,3,131
nih.gov,19:05.5,17,3,Request timed out
aliexpress.com,19:09.3,17,3,117
ndtv.com,19:09.5,17,3,5
hurriyet.com.tr,19:09.5,17,3,158
hm.com,19:09.7,17,3,4
as.com,19:09.7,17,3,4
bbc.com,19:09.7,17,3,4
amazon.co.jp,19:09.7,17,3,56
cambridge.org,19:09.8,17,3,14
de.wikipedia.org,19:09.8,17,3,35
hepsiburada.com,19:09.9,17,3,185
britannica.com,19:10.1,17,3,Request timed out
nih.gov,19:13.8,17,3,Request timed out
bbc.com,19:17.8,17,3,6
indiatimes.com,19:17.8,17,3,5
homedepot.com,19:17.9,17,3,14
twitter.com,19:17.9,17,3,53
etsy.com,19:18.0,17,3,5
amazon.de,19:18.0,17,3,115
ebay.com,19:18.2,17,3,Request timed out
goal.com,19:21.8,17,3,Request timed out
nih.gov,19:25.8,17,3,Request timed out
amazon.fr,19:29.8,17,3,112
amazon.co.jp,19:30.0,17,3,56
epfindia.gov.in,19:30.0,17,3,Request timed out
goal.com,19:33.8,17,3,Request timed out
detik.com,19:37.8,17,3,263
amazon.it,19:38.1,17,3,111
instagram.com,19:38.2,17,3,4
indiatimes.com,19:38.3,17,3,5
live.com,19:38.3,17,3,4
amazon.co.jp,19:38.3,17,3,56
mail.ru,19:38.4,17,3,196
marca.com,19:38.6,17,3,111
ebay.com,19:38.7,17,3,Request timed out
as.com,19:42.3,17,3,6
microsoft.com,19:42.4,17,3,Request timed out
craigslist.org,19:46.3,17,3,31
collinsdictionary.com,19:46.4,17,3,14
flipkart.com,19:46.4,17,3,244
linkedin.com,19:46.7,17,3,9
bbc.com,19:46.7,17,3,4
etsy.com,19:46.7,17,3,4
etsy.com,19:46.7,17,3,4
fr.wikipedia.org,19:46.8,17,3,35
instagram.com,19:46.8,17,3,3
linkedin.com,19:46.8,17,3,12
cambridge.org,19:46.8,17,3,18
clevelandclinic.org,19:46.9,17,3,27
id.wikipedia.org,19:46.9,17,3,35
live.com,19:47.0,17,3,3
flipkart.com,19:47.0,17,3,433
espncricinfo.com,19:47.4,17,3,Request timed out
indeed.com,19:51.3,17,3,14
espncricinfo.com,19:51.4,17,3,Request timed out
collinsdictionary.com,19:55.3,17,3,15
globo.com,19:55.4,17,3,142
live.com,19:55.5,17,3,6
ebay.co.uk,19:55.5,17,3,Request timed out
ebay.co.uk,19:59.3,17,3,Request timed out
ar.wikipedia.org,20:03.3,17,3,34
omegle.com,20:03.4,17,3,16
kinopoisk.ru,20:03.4,17,3,154
homedepot.com,20:03.7,17,3,15
milliyet.com.tr,20:03.8,17,3,159
booking.com,20:03.9,17,3,Request timed out
indiatimes.com,20:07.8,17,3,5
de.wikipedia.org,20:07.9,17,3,35
ebay.co.uk,20:07.9,17,3,Request timed out
fr.wikipedia.org,20:11.8,17,3,35
imdb.com,20:11.9,17,3,36
collinsdictionary.com,20:11.9,17,3,14
amazon.es,20:12.0,17,3,110
kompas.com,20:12.1,17,3,Request timed out
healthline.com,20:15.8,17,3,3
hurriyet.com.tr,20:16.1,17,3,158
dailymotion.com,20:16.2,17,3,106
as.com,20:16.4,17,3,4
goal.com,20:16.4,17,3,Request timed out
investing.com,20:20.3,17,3,12
gsmarena.com,20:20.4,17,3,136
hurriyet.com.tr,20:20.5,17,3,159
ja.wikipedia.org,20:20.7,17,3,35
ebay.co.uk,20:20.7,17,3,Request timed out
bbc.com,20:24.3,17,3,5
medicalnewstoday.com,20:24.3,17,3,4
mail.yahoo.com,20:24.4,17,3,Request timed out
ebay.com,20:28.3,17,3,Request timed out
gsmarena.com,20:32.3,17,3,136
marca.com,20:32.5,17,3,113
kompas.com,20:32.6,17,3,Request timed out
milliyet.com.tr,20:36.3,17,3,159
youtube.com,20:36.5,17,3,16
nike.com,20:36.6,17,3,5
homedepot.com,20:36.6,17,3,29
detik.com,20:36.6,17,3,Request timed out
india.com,20:40.3,17,3,5
instagram.com,20:40.4,17,3,3
medlineplus.gov,20:40.4,17,3,4
americanas.com.br,20:40.4,17,3,Request timed out
gsmarena.com,20:44.3,17,3,137
id.wikipedia.org,20:44.5,17,3,34
espn.com,20:44.5,17,3,3
amazon.in,20:44.6,17,3,111
naver.com,20:44.7,17,3,Request timed out
apple.com,20:48.3,17,3,4
mail.ru,20:48.3,17,3,203
hurriyet.com.tr,20:48.6,17,3,166
kinopoisk.ru,20:48.7,17,3,153
goal.com,20:48.9,17,3,Request timed out
kompas.com,20:52.8,17,3,Request timed out
dictionary.com,20:56.8,17,3,4
onet.pl,20:56.8,17,3,3
dictionary.com,20:56.9,17,3,4
