Domain,StartTime,StartDay,StartHour,PingOutput
britannica.com,16:22.6,16,15,Request timed out
byjus.com,16:26.4,16,15,114
britannica.com,16:26.5,16,15,Request timed out
amazon.es,16:30.4,16,15,110
nytimes.com,16:30.5,16,15,3
ja.wikipedia.org,16:30.5,16,15,35
americanas.com.br,16:30.6,16,15,Request timed out
indiamart.com,16:34.3,16,15,14
ebay.com,16:34.4,16,15,Request timed out
ebay.com,16:38.4,16,15,Request timed out
pinterest.com,16:42.3,16,15,25
bestbuy.com,16:42.4,16,15,34
onet.pl,16:42.4,16,15,4
twitter.com,16:42.5,16,15,46
dailymail.co.uk,16:42.5,16,15,5
collinsdictionary.com,16:42.6,16,15,16
mayoclinic.org,16:42.6,16,15,Request timed out
bbc.co.uk,16:46.3,16,15,8
merriam-webster.com,16:46.4,16,15,3
amazon.co.jp,16:46.4,16,15,56
omegle.com,16:46.5,16,15,13
brainly.co.id,16:46.5,16,15,13
aliexpress.com,16:46.6,16,15,116
milliyet.com.tr,16:46.7,16,15,159
cdc.gov,16:46.9,16,15,Request timed out
ikea.com,16:50.8,16,15,13
ndtv.com,16:50.9,16,15,5
mail.yahoo.com,16:50.9,16,15,Request timed out
dictionary.com,16:54.8,16,15,4
it.wikipedia.org,16:54.9,16,15,34
naver.com,16:54.9,16,15,Request timed out
as.com,16:58.8,16,15,4
nih.gov,16:58.9,16,15,Request timed out
hm.com,17:02.8,16,15,5
kompas.com,17:02.9,16,15,Request timed out
indiamart.com,17:06.8,16,15,14
canva.com,17:06.9,16,15,14
instagram.com,17:06.9,16,15,4
pinterest.com,17:06.9,16,15,4
milliyet.com.tr,17:06.9,16,15,160
hm.com,17:07.1,16,15,4
ebay.co.uk,17:07.1,16,15,Request timed out
investopedia.com,17:10.9,16,15,5
amazon.in,17:10.9,16,15,117
as.com,17:11.0,16,15,8
hurriyet.com.tr,17:11.0,16,15,158
byjus.com,17:11.2,16,15,14
pinterest.com,17:11.2,16,15,3
merriam-webster.com,17:11.3,16,15,3
dailymotion.com,17:11.3,16,15,106
merriam-webster.com,17:11.4,16,15,3
bestbuy.com,17:11.4,16,15,37
pinterest.com,17:11.5,16,15,4
dailymail.co.uk,17:11.5,16,15,6
omegle.com,17:11.6,16,15,13
mail.yahoo.com,17:11.6,16,15,Request timed out
instagram.com,17:15.3,16,15,3
hurriyet.com.tr,17:15.4,16,15,159
mercadolivre.com.br,17:15.5,16,15,4
live.com,17:15.6,16,15,5
globo.com,17:15.6,16,15,143
fr.wikipedia.org,17:15.9,16,15,35
ja.wikipedia.org,17:15.9,16,15,35
