Domain,StartTime,StartDay,StartHour,PingOutput
cdc.gov,27:50.1,15,3,Request timed out
ebay.com,27:53.9,15,3,Request timed out
ebay.com,27:57.9,15,3,Request timed out
adobe.com,28:01.9,15,3,4
ikea.com,28:02.0,15,3,13
apple.com,28:02.0,15,3,4
omegle.com,28:02.0,15,3,13
cnn.com,28:02.0,15,3,3
live.com,28:02.1,15,3,3
kompas.com,28:02.1,15,3,Request timed out
cnn.com,28:05.9,15,3,42
nike.com,28:06.0,15,3,4
healthline.com,28:06.0,15,3,4
gsmarena.com,28:06.1,15,3,136
clevelandclinic.org,28:06.2,15,3,28
americanas.com.br,28:06.2,15,3,Request timed out
cambridge.org,28:09.9,15,3,14
pinterest.com,28:10.0,15,3,4
id.wikipedia.org,28:10.0,15,3,36
cnn.com,28:10.0,15,3,3
espncricinfo.com,28:10.0,15,3,Request timed out
mayoclinic.org,28:13.9,15,3,Request timed out
amazon.it,28:17.9,15,3,109
bbc.co.uk,28:18.1,15,3,4
amazon.fr,28:18.1,15,3,111
nytimes.com,28:18.2,15,3,5
ebay.co.uk,28:18.3,15,3,Request timed out
hurriyet.com.tr,28:21.9,15,3,160
apple.com,28:22.1,15,3,4
healthline.com,28:22.1,15,3,3
milliyet.com.tr,28:22.1,15,3,158
espn.com,28:22.3,15,3,3
adobe.com,28:22.3,15,3,5
allegro.pl,28:22.3,15,3,134
collinsdictionary.com,28:22.5,15,3,13
cdc.gov,28:22.5,15,3,Request timed out
espn.com,28:26.4,15,3,3
globo.com,28:26.4,15,3,141
ja.wikipedia.org,28:26.6,15,3,35
clevelandclinic.org,28:26.7,15,3,88
nytimes.com,28:26.8,15,3,118
aliexpress.com,28:26.9,15,3,141
flipkart.com,28:27.0,15,3,239
indiamart.com,28:27.4,15,3,15
nih.gov,28:27.4,15,3,Request timed out
adobe.com,28:30.9,15,3,5
as.com,28:31.0,15,3,4
fandom.com,28:31.0,15,3,5
cricbuzz.com,28:31.1,15,3,249
ebay.co.uk,28:31.3,15,3,Request timed out
india.com,28:34.9,15,3,6
en.wikipedia.org,28:35.0,15,3,35
clevelandclinic.org,28:35.0,15,3,28
live.com,28:35.1,15,3,5
mail.yahoo.com,28:35.1,15,3,Request timed out
kinopoisk.ru,28:38.9,15,3,153
canva.com,28:39.3,15,3,14
detik.com,28:39.3,15,3,265
ar.wikipedia.org,28:39.6,15,3,35
omegle.com,28:39.6,15,3,14
mail.ru,28:39.7,15,3,201
hepsiburada.com,28:39.9,15,3,149
amazon.com,28:40.1,15,3,38
indiamart.com,28:40.1,15,3,15
espn.com,28:40.1,15,3,3
medlineplus.gov,28:40.1,15,3,3
dailymotion.com,28:40.2,15,3,105
etsy.com,28:40.3,15,3,4
mayoclinic.org,28:40.3,15,3,Request timed out
amazon.it,28:43.9,15,3,109
ilovepdf.com,28:44.1,15,3,15
healthline.com,28:44.1,15,3,3
imdb.com,28:44.1,15,3,36
espn.com,28:44.2,15,3,3
espn.com,28:44.2,15,3,3
clevelandclinic.org,28:44.2,15,3,27
dailymotion.com,28:44.3,15,3,106
cookpad.com,28:44.4,15,3,4
hepsiburada.com,28:44.4,15,3,149
as.com,28:44.6,15,3,5
aliexpress.com,28:44.6,15,3,115
india.com,28:44.7,15,3,5
instagram.com,28:44.8,15,3,4
cnn.com,28:44.8,15,3,4
instagram.com,28:44.8,15,3,3
google.com,28:44.8,15,3,14
ja.wikipedia.org,28:44.8,15,3,35
indeed.com,28:44.9,15,3,14
nytimes.com,28:44.9,15,3,5
marca.com,28:44.9,15,3,109
investing.com,28:45.1,15,3,14
brainly.co.id,28:45.1,15,3,14
aliexpress.com,28:45.1,15,3,116
live.com,28:45.2,15,3,3
amazon.fr,28:45.3,15,3,111
youtube.com,28:45.4,15,3,14
linkedin.com,28:45.4,15,3,4
nih.gov,28:45.4,15,3,Request timed out
mail.ru,28:49.4,15,3,204
cdc.gov,28:49.7,15,3,Request timed out
de.wikipedia.org,28:53.4,15,3,69
indiatimes.com,28:53.5,15,3,4
dictionary.com,28:53.6,15,3,6
mail.ru,28:53.6,15,3,203
amazon.co.jp,28:53.8,15,3,56
m.wikipedia.org,28:53.9,15,3,34
instagram.com,28:53.9,15,3,3
cricbuzz.com,28:53.9,15,3,249
ilovepdf.com,28:54.2,15,3,13
ebay.co.uk,28:54.2,15,3,Request timed out
brainly.co.id,28:57.9,15,3,14
youtube.com,28:58.0,15,3,14
m.wikipedia.org,28:58.0,15,3,35
allegro.pl,28:58.0,15,3,134
homedepot.com,28:58.2,15,3,13
nike.com,28:58.2,15,3,4
accuweather.com,28:58.3,15,3,5
bbc.com,28:58.3,15,3,5
booking.com,28:58.3,15,3,Request timed out
britannica.com,29:01.9,15,3,Request timed out
indeed.com,29:05.9,15,3,14
bbc.com,29:06.0,15,3,4
pinterest.com,29:06.0,15,3,4
cnn.com,29:06.0,15,3,3
hm.com,29:06.0,15,3,5
merriam-webster.com,29:06.0,15,3,4
ndtv.com,29:06.0,15,3,5
ar.wikipedia.org,29:06.1,15,3,35
twitter.com,29:06.1,15,3,43
onet.pl,29:06.2,15,3,3
medlineplus.gov,29:06.2,15,3,3
