Domain,StartTime,StartDay,StartHour,PingOutput
healthline.com,27:45.1,14,11,4
americanas.com.br,27:45.2,14,11,Request timed out
marca.com,27:49.2,14,11,109
flipkart.com,27:49.3,14,11,245
gsmarena.com,27:49.6,14,11,136
indiatimes.com,27:49.8,14,11,5
milliyet.com.tr,27:49.9,14,11,160
dailymotion.com,27:50.1,14,11,105
live.com,27:50.2,14,11,3
mercadolivre.com.br,27:50.2,14,11,3
cnn.com,27:50.3,14,11,4
microsoft.com,27:50.4,14,11,Request timed out
ja.wikipedia.org,27:54.2,14,11,35
instagram.com,27:54.2,14,11,4
medicalnewstoday.com,27:54.2,14,11,4
ilovepdf.com,27:54.3,14,11,13
microsoft.com,27:54.4,14,11,Request timed out
live.com,27:58.2,14,11,4
ndtv.com,27:58.2,14,11,6
medlineplus.gov,27:58.2,14,11,28
es.wikipedia.org,27:58.3,14,11,36
live.com,27:58.3,14,11,6
pinterest.com,27:58.4,14,11,5
as.com,27:58.4,14,11,5
healthline.com,27:58.4,14,11,6
espncricinfo.com,27:58.4,14,11,Request timed out
amazon.de,28:02.2,14,11,113
medicalnewstoday.com,28:02.3,14,11,4
amazon.in,28:02.3,14,11,111
cookpad.com,28:02.5,14,11,4
fandom.com,28:02.5,14,11,65
hurriyet.com.tr,28:02.7,14,11,207
nike.com,28:03.0,14,11,3
brainly.co.id,28:03.1,14,11,13
omegle.com,28:03.1,14,11,14
marca.com,28:03.1,14,11,109
accuweather.com,28:03.3,14,11,5
globo.com,28:03.3,14,11,142
live.com,28:03.6,14,11,4
onet.pl,28:03.6,14,11,4
marca.com,28:03.7,14,11,110
ar.wikipedia.org,28:03.8,14,11,35
goal.com,28:03.8,14,11,Request timed out
bbc.com,28:07.7,14,11,5
indiatimes.com,28:07.7,14,11,11
amazon.es,28:07.8,14,11,110
linkedin.com,28:07.9,14,11,4
amazon.com,28:07.9,14,11,38
dailymail.co.uk,28:08.0,14,11,6
hm.com,28:08.0,14,11,5
apple.com,28:08.1,14,11,4
booking.com,28:08.1,14,11,Request timed out
onet.pl,28:11.7,14,11,3
amazon.co.jp,28:11.7,14,11,55
merriam-webster.com,28:11.8,14,11,4
ar.wikipedia.org,28:11.8,14,11,34
cookpad.com,28:11.8,14,11,4
marca.com,28:11.9,14,11,110
nl.wikipedia.org,28:12.0,14,11,35
amazon.it,28:12.1,14,11,110
