Domain,StartTime,StartDay,StartHour,PingOutput
es.wikipedia.org,24:53.0,15,15,35
amazon.de,24:53.1,15,15,110
accuweather.com,24:53.2,15,15,145
aliexpress.com,24:53.4,15,15,179
indeed.com,24:53.6,15,15,13
amazon.com,24:53.6,15,15,36
imdb.com,24:53.6,15,15,36
mail.ru,24:53.7,15,15,202
amazon.com,24:53.9,15,15,36
as.com,24:53.9,15,15,5
hotstar.com,24:54.0,15,15,4
amazon.it,24:54.1,15,15,110
bestbuy.com,24:54.2,15,15,34
kinopoisk.ru,24:54.3,15,15,153
ikea.com,24:54.6,15,15,13
bbc.com,24:54.6,15,15,6
bestbuy.com,24:54.6,15,15,34
dictionary.com,24:54.7,15,15,6
dailymail.co.uk,24:54.7,15,15,5
hepsiburada.com,24:54.8,15,15,150
ikea.com,24:54.9,15,15,13
amazon.com,24:54.9,15,15,38
dailymail.co.uk,24:55.0,15,15,5
cricbuzz.com,24:55.0,15,15,253
ar.wikipedia.org,24:55.3,15,15,35
hepsiburada.com,24:55.3,15,15,149
dailymotion.com,24:55.5,15,15,105
clevelandclinic.org,24:55.6,15,15,28
omegle.com,24:55.7,15,15,13
dailymail.co.uk,24:55.7,15,15,6
homedepot.com,24:55.7,15,15,26
fr.wikipedia.org,24:55.7,15,15,37
amazon.es,24:55.8,15,15,111
craigslist.org,24:55.9,15,15,31
live.com,24:56.0,15,15,4
amazon.co.jp,24:56.0,15,15,55
byjus.com,24:56.1,15,15,13
dailymail.co.uk,24:56.1,15,15,4
mail.yahoo.com,24:56.1,15,15,Request timed out
gsmarena.com,24:59.9,15,15,135
indeed.com,25:00.1,15,15,14
linkedin.com,25:00.1,15,15,5
apple.com,25:00.1,15,15,5
twitter.com,25:00.1,15,15,40
onet.pl,25:00.2,15,15,4
booking.com,25:00.2,15,15,Request timed out
brainly.co.id,25:03.9,15,15,37
instagram.com,25:04.0,15,15,4
canva.com,25:04.0,15,15,13
byjus.com,25:04.0,15,15,13
ebay.com,25:04.1,15,15,Request timed out
ebay.com,25:07.9,15,15,Request timed out
linkedin.com,25:11.9,15,15,4
mail.ru,25:12.0,15,15,204
medlineplus.gov,25:12.2,15,15,4
amazon.it,25:12.2,15,15,110
healthline.com,25:12.3,15,15,7
mail.yahoo.com,25:12.4,15,15,Request timed out
aliexpress.com,25:15.9,15,15,116
milliyet.com.tr,25:16.1,15,15,159
nih.gov,25:16.3,15,15,Request timed out
cnn.com,25:19.9,15,15,7
id.wikipedia.org,25:20.1,15,15,35
gsmarena.com,25:20.1,15,15,135
amazon.de,25:20.3,15,15,112
investing.com,25:20.4,15,15,13
ikea.com,25:20.4,15,15,13
ebay.co.uk,25:20.5,15,15,Request timed out
kompas.com,25:24.4,15,15,Request timed out
ilovepdf.com,25:28.4,15,15,13
amazon.com,25:28.5,15,15,36
es.wikipedia.org,25:28.5,15,15,34
britannica.com,25:28.6,15,15,Request timed out
medlineplus.gov,25:32.4,15,15,3
bbc.co.uk,25:32.5,15,15,3
detik.com,25:32.5,15,15,248
india.com,25:32.7,15,15,6
es.wikipedia.org,25:32.8,15,15,34
britannica.com,25:32.8,15,15,Request timed out
instagram.com,25:36.4,15,15,6
craigslist.org,25:36.5,15,15,30
gsmarena.com,25:36.5,15,15,138
hepsiburada.com,25:36.7,15,15,151
it.wikipedia.org,25:36.9,15,15,36
cdc.gov,25:36.9,15,15,Request timed out
hurriyet.com.tr,25:40.9,15,15,158
amazon.de,25:41.1,15,15,191
medicalnewstoday.com,25:41.3,15,15,4
craigslist.org,25:41.6,15,15,31
investopedia.com,25:41.7,15,15,4
accuweather.com,25:41.7,15,15,7
americanas.com.br,25:41.8,15,15,Request timed out
bbc.com,25:45.4,15,15,5
finance.yahoo.com,25:45.5,15,15,Request timed out
apple.com,25:49.4,15,15,5
detik.com,25:49.4,15,15,249
omegle.com,25:49.7,15,15,13
indiatimes.com,25:49.7,15,15,5
mail.ru,25:49.8,15,15,201
clevelandclinic.org,25:50.0,15,15,28
google.com,25:50.0,15,15,14
facebook.com,25:50.1,15,15,3
clevelandclinic.org,25:50.1,15,15,27
ar.wikipedia.org,25:50.1,15,15,35
cnn.com,25:50.2,15,15,3
investopedia.com,25:50.2,15,15,5
amazon.com,25:50.2,15,15,36
as.com,25:50.2,15,15,4
amazon.in,25:50.3,15,15,110
accuweather.com,25:50.4,15,15,4
nl.wikipedia.org,25:50.4,15,15,35
ikea.com,25:50.5,15,15,13
mayoclinic.org,25:50.5,15,15,Request timed out
cricbuzz.com,25:54.4,15,15,254
homedepot.com,25:54.7,15,15,13
ar.wikipedia.org,25:54.7,15,15,34
finance.yahoo.com,25:54.8,15,15,Request timed out
microsoft.com,25:58.4,15,15,Request timed out
hotstar.com,26:02.4,15,15,79
amazon.fr,26:02.7,15,15,167
google.com,26:02.9,15,15,79
hotstar.com,26:02.9,15,15,17
kompas.com,26:03.0,15,15,Request timed out
amazon.it,26:06.9,15,15,110
britannica.com,26:07.1,15,15,Request timed out
milliyet.com.tr,26:10.9,15,15,158
nytimes.com,26:11.1,15,15,4
cricbuzz.com,26:11.1,15,15,254
ndtv.com,26:11.4,15,15,7
microsoft.com,26:11.4,15,15,Request timed out
brainly.co.id,26:15.4,15,15,14
en.wikipedia.org,26:15.5,15,15,35
ebay.com,26:15.5,15,15,Request timed out
medicalnewstoday.com,26:19.4,15,15,5
hm.com,26:19.5,15,15,6
mercadolivre.com.br,26:19.5,15,15,3
accuweather.com,26:19.5,15,15,4
fr.wikipedia.org,26:19.6,15,15,36
canva.com,26:19.6,15,15,14
kinopoisk.ru,26:19.7,15,15,180
mail.yahoo.com,26:20.0,15,15,Request timed out
detik.com,26:23.9,15,15,237
apple.com,26:24.4,15,15,4
hepsiburada.com,26:24.5,15,15,149
etsy.com,26:24.6,15,15,4
finance.yahoo.com,26:24.6,15,15,Request timed out
allegro.pl,26:28.4,15,15,135
live.com,26:28.6,15,15,3
clevelandclinic.org,26:28.6,15,15,27
naver.com,26:28.7,15,15,Request timed out
amazon.es,26:32.4,15,15,109
ebay.com,26:32.6,15,15,Request timed out
cnn.com,26:36.4,15,15,4
instagram.com,26:36.5,15,15,3
accuweather.com,26:36.5,15,15,4
flipkart.com,26:36.5,15,15,242
dailymotion.com,26:36.8,15,15,106
espn.com,26:36.9,15,15,4
espncricinfo.com,26:36.9,15,15,Request timed out
epfindia.gov.in,26:40.9,15,15,Request timed out
ar.wikipedia.org,26:44.9,15,15,88
adobe.com,26:45.0,15,15,4
nih.gov,26:45.1,15,15,Request timed out
accuweather.com,26:48.9,15,15,8
bestbuy.com,26:49.0,15,15,34
nl.wikipedia.org,26:49.1,15,15,34
hm.com,26:49.1,15,15,5
mercadolivre.com.br,26:49.2,15,15,4
nih.gov,26:49.2,15,15,Request timed out
dailymotion.com,26:52.9,15,15,105
imdb.com,26:53.1,15,15,35
fandom.com,26:53.1,15,15,3
dailymail.co.uk,26:53.1,15,15,5
medlineplus.gov,26:53.2,15,15,8
microsoft.com,26:53.2,15,15,Request timed out
ja.wikipedia.org,26:56.9,15,15,33
amazon.es,26:57.0,15,15,177
id.wikipedia.org,26:57.2,15,15,90
as.com,26:57.3,15,15,4
bbc.co.uk,26:57.3,15,15,3
indiamart.com,26:57.4,15,15,14
india.com,26:57.4,15,15,5
hepsiburada.com,26:57.4,15,15,149
