Domain,StartTime,StartDay,StartHour,PingOutput
cnn.com,23:50.5,16,11,4
bestbuy.com,23:50.5,16,11,34
cambridge.org,23:50.6,16,11,14
cambridge.org,23:50.6,16,11,13
amazon.fr,23:50.6,16,11,111
facebook.com,23:50.7,16,11,3
cnn.com,23:50.8,16,11,3
google.com,23:50.8,16,11,14
ebay.com,23:50.8,16,11,Request timed out
homedepot.com,23:54.4,16,11,14
ebay.co.uk,23:54.4,16,11,Request timed out
marca.com,23:58.4,16,11,110
marca.com,23:58.5,16,11,112
ikea.com,23:58.6,16,11,14
as.com,23:58.6,16,11,4
amazon.com,23:58.7,16,11,34
booking.com,23:58.8,16,11,Request timed out
bbc.com,24:02.4,16,11,5
byjus.com,24:02.4,16,11,13
india.com,24:02.4,16,11,6
bbc.com,24:02.5,16,11,4
facebook.com,24:02.5,16,11,3
amazon.de,24:02.5,16,11,112
youtube.com,24:02.6,16,11,13
milliyet.com.tr,24:02.6,16,11,159
es.wikipedia.org,24:02.8,16,11,34
nih.gov,24:02.9,16,11,Request timed out
instagram.com,24:06.9,16,11,4
hm.com,24:06.9,16,11,5
mayoclinic.org,24:06.9,16,11,Request timed out
youtube.com,24:10.9,16,11,14
facebook.com,24:10.9,16,11,3
indeed.com,24:10.9,16,11,14
hepsiburada.com,24:10.9,16,11,150
facebook.com,24:11.1,16,11,4
investopedia.com,24:11.1,16,11,4
collinsdictionary.com,24:11.1,16,11,15
amazon.it,24:11.1,16,11,110
booking.com,24:11.3,16,11,Request timed out
indiamart.com,24:14.8,16,11,15
booking.com,24:14.9,16,11,Request timed out
amazon.es,24:18.8,16,11,109
allegro.pl,24:19.0,16,11,131
nl.wikipedia.org,24:19.1,16,11,35
adobe.com,24:19.2,16,11,5
naver.com,24:19.2,16,11,Request timed out
es.wikipedia.org,24:22.9,16,11,35
globo.com,24:22.9,16,11,142
hm.com,24:23.1,16,11,5
magazineluiza.com.br,24:23.1,16,11,3
nl.wikipedia.org,24:23.1,16,11,104
es.wikipedia.org,24:23.2,16,11,34
imdb.com,24:23.3,16,11,37
onet.pl,24:23.3,16,11,4
kompas.com,24:23.3,16,11,Request timed out
ar.wikipedia.org,24:27.4,16,11,35
espn.com,24:27.4,16,11,4
cnn.com,24:27.4,16,11,4
bbc.co.uk,24:27.5,16,11,4
facebook.com,24:27.5,16,11,3
mail.yahoo.com,24:27.5,16,11,Request timed out
google.com,24:31.4,16,11,14
kompas.com,24:31.4,16,11,Request timed out
google.com,24:35.4,16,11,14
nih.gov,24:35.4,16,11,Request timed out
detik.com,24:39.3,16,11,Request timed out
kinopoisk.ru,24:43.4,16,11,148
en.wikipedia.org,24:43.6,16,11,35
dailymail.co.uk,24:43.7,16,11,4
es.wikipedia.org,24:43.8,16,11,35
as.com,24:43.8,16,11,4
adobe.com,24:43.8,16,11,5
healthline.com,24:43.9,16,11,3
ilovepdf.com,24:43.9,16,11,13
ebay.com,24:43.9,16,11,Request timed out
amazon.fr,24:47.8,16,11,112
nike.com,24:48.0,16,11,4
ar.wikipedia.org,24:48.1,16,11,36
amazon.co.jp,24:48.1,16,11,56
google.com,24:48.2,16,11,15
dailymail.co.uk,24:48.2,16,11,7
canva.com,24:48.2,16,11,15
amazon.it,24:48.3,16,11,110
facebook.com,24:48.4,16,11,3
nike.com,24:48.4,16,11,3
adobe.com,24:48.4,16,11,5
onet.pl,24:48.5,16,11,4
amazon.fr,24:48.5,16,11,111
cdc.gov,24:48.6,16,11,Request timed out
collinsdictionary.com,24:52.4,16,11,15
amazon.co.uk,24:52.4,16,11,110
amazon.it,24:52.5,16,11,110
hepsiburada.com,24:52.6,16,11,149
dailymail.co.uk,24:52.8,16,11,5
etsy.com,24:52.8,16,11,5
ndtv.com,24:52.8,16,11,5
espn.com,24:52.9,16,11,4
m.wikipedia.org,24:52.9,16,11,35
finance.yahoo.com,24:53.0,16,11,Request timed out
mail.yahoo.com,24:56.9,16,11,Request timed out
amazon.it,25:00.9,16,11,109
magazineluiza.com.br,25:01.0,16,11,6
espn.com,25:01.0,16,11,4
epfindia.gov.in,25:01.0,16,11,Request timed out
amazon.in,25:04.9,16,11,112
etsy.com,25:05.2,16,11,4
cookpad.com,25:05.2,16,11,4
hotstar.com,25:05.2,16,11,3
es.wikipedia.org,25:05.3,16,11,36
cambridge.org,25:05.3,16,11,12
amazon.es,25:05.3,16,11,110
cnn.com,25:05.5,16,11,4
india.com,25:05.5,16,11,5
amazon.de,25:05.5,16,11,111
gsmarena.com,25:05.7,16,11,135
fandom.com,25:05.8,16,11,4
bbc.com,25:05.8,16,11,5
pinterest.com,25:05.9,16,11,5
bbc.co.uk,25:05.9,16,11,3
indiamart.com,25:05.9,16,11,14
dictionary.com,25:05.9,16,11,5
byjus.com,25:05.9,16,11,14
gsmarena.com,25:06.0,16,11,137
clevelandclinic.org,25:06.1,16,11,27
ikea.com,25:06.2,16,11,14
investopedia.com,25:06.2,16,11,3
dictionary.com,25:06.2,16,11,4
en.wikipedia.org,25:06.2,16,11,35
amazon.de,25:06.3,16,11,111
imdb.com,25:06.4,16,11,36
fandom.com,25:06.5,16,11,5
m.wikipedia.org,25:06.5,16,11,36
healthline.com,25:06.5,16,11,4
booking.com,25:06.5,16,11,Request timed out
hm.com,25:10.4,16,11,5
m.wikipedia.org,25:10.4,16,11,33
amazon.de,25:10.5,16,11,110
ebay.com,25:10.6,16,11,Request timed out
amazon.es,25:14.4,16,11,111
medlineplus.gov,25:14.5,16,11,3
mail.yahoo.com,25:14.5,16,11,Request timed out
milliyet.com.tr,25:18.3,16,11,160
etsy.com,25:18.5,16,11,4
amazon.com,25:18.5,16,11,33
amazon.es,25:18.6,16,11,112
kompas.com,25:18.7,16,11,Request timed out
pinterest.com,25:22.4,16,11,6
de.wikipedia.org,25:22.4,16,11,36
ebay.com,25:22.4,16,11,Request timed out
investopedia.com,25:26.4,16,11,3
mayoclinic.org,25:26.4,16,11,Request timed out
cnn.com,25:30.4,16,11,4
amazon.com,25:30.4,16,11,34
live.com,25:30.4,16,11,3
investing.com,25:30.5,16,11,12
linkedin.com,25:30.5,16,11,3
cambridge.org,25:30.5,16,11,13
es.wikipedia.org,25:30.6,16,11,35
dailymail.co.uk,25:30.6,16,11,4
bbc.com,25:30.7,16,11,4
merriam-webster.com,25:30.7,16,11,3
mail.ru,25:30.7,16,11,203
goal.com,25:31.0,16,11,Request timed out
ebay.com,25:34.8,16,11,Request timed out
instagram.com,25:38.8,16,11,4
indiamart.com,25:38.9,16,11,14
bbc.com,25:38.9,16,11,5
indiatimes.com,25:38.9,16,11,5
ar.wikipedia.org,25:38.9,16,11,35
as.com,25:39.0,16,11,5
omegle.com,25:39.0,16,11,15
magazineluiza.com.br,25:39.0,16,11,3
dictionary.com,25:39.1,16,11,6
hotstar.com,25:39.1,16,11,3
homedepot.com,25:39.1,16,11,13
ikea.com,25:39.1,16,11,13
live.com,25:39.2,16,11,5
hepsiburada.com,25:39.2,16,11,149
brainly.co.id,25:39.4,16,11,13
google.com,25:39.4,16,11,14
byjus.com,25:39.4,16,11,13
gsmarena.com,25:39.5,16,11,135
investopedia.com,25:39.6,16,11,3
kompas.com,25:39.6,16,11,Request timed out
nih.gov,25:43.4,16,11,Request timed out
nih.gov,25:47.3,16,11,Request timed out
ebay.com,25:51.4,16,11,Request timed out
cdc.gov,25:55.4,16,11,Request timed out
etsy.com,25:59.3,16,11,5
clevelandclinic.org,25:59.4,16,11,28
amazon.fr,25:59.4,16,11,111
detik.com,25:59.6,16,11,254
milliyet.com.tr,25:59.8,16,11,158
as.com,26:00.0,16,11,5
etsy.com,26:00.1,16,11,4
homedepot.com,26:00.1,16,11,14
onet.pl,26:00.1,16,11,4
hurriyet.com.tr,26:00.1,16,11,160
ebay.co.uk,26:00.3,16,11,Request timed out
cdc.gov,26:03.9,16,11,Request timed out
medlineplus.gov,26:07.9,16,11,4
milliyet.com.tr,26:07.9,16,11,161
cdc.gov,26:08.1,16,11,Request timed out
medicalnewstoday.com,26:11.8,16,11,3
adobe.com,26:11.9,16,11,4
it.wikipedia.org,26:11.9,16,11,35
kompas.com,26:11.9,16,11,Request timed out
flipkart.com,26:15.8,16,11,231
gsmarena.com,26:16.1,16,11,137
cnn.com,26:16.3,16,11,5
dictionary.com,26:16.3,16,11,4
india.com,26:16.3,16,11,6
indeed.com,26:16.3,16,11,14
kompas.com,26:16.4,16,11,Request timed out
epfindia.gov.in,26:20.4,16,11,Request timed out
accuweather.com,26:24.4,16,11,5
linkedin.com,26:24.4,16,11,4
google.com,26:24.4,16,11,15
youtube.com,26:24.5,16,11,14
finance.yahoo.com,26:24.5,16,11,Request timed out
bbc.co.uk,26:28.4,16,11,4
ndtv.com,26:28.4,16,11,5
fr.wikipedia.org,26:28.4,16,11,35
investing.com,26:28.5,16,11,12
detik.com,26:28.5,16,11,261
indiatimes.com,26:28.8,16,11,5
amazon.de,26:28.8,16,11,111
epfindia.gov.in,26:28.9,16,11,Request timed out
nike.com,26:32.9,16,11,4
ebay.co.uk,26:32.9,16,11,Request timed out
allegro.pl,26:36.9,16,11,147
imdb.com,26:37.2,16,11,35
dailymotion.com,26:37.2,16,11,106
finance.yahoo.com,26:37.3,16,11,Request timed out
merriam-webster.com,26:40.8,16,11,7
amazon.com,26:40.9,16,11,36
amazon.co.uk,26:40.9,16,11,112
detik.com,26:41.1,16,11,258
ikea.com,26:41.5,16,11,17
de.wikipedia.org,26:41.5,16,11,35
cookpad.com,26:41.6,16,11,4
medicalnewstoday.com,26:41.6,16,11,3
canva.com,26:41.6,16,11,13
medicalnewstoday.com,26:41.7,16,11,3
naver.com,26:41.7,16,11,Request timed out
detik.com,26:45.3,16,11,265
hepsiburada.com,26:45.6,16,11,150
live.com,26:45.8,16,11,4
amazon.co.jp,26:45.8,16,11,55
ebay.com,26:45.9,16,11,Request timed out
twitter.com,26:49.9,16,11,42
bbc.com,26:49.9,16,11,5
detik.com,26:49.9,16,11,267
de.wikipedia.org,26:50.2,16,11,39
epfindia.gov.in,26:50.3,16,11,Request timed out
gsmarena.com,26:53.9,16,11,136
finance.yahoo.com,26:54.0,16,11,Request timed out
instagram.com,26:57.8,16,11,3
hepsiburada.com,26:57.9,16,11,149
es.wikipedia.org,26:58.1,16,11,35
kinopoisk.ru,26:58.1,16,11,149
amazon.it,26:58.4,16,11,110
indeed.com,26:58.6,16,11,13
merriam-webster.com,26:58.6,16,11,3
nih.gov,26:58.6,16,11,Request timed out
fandom.com,27:02.3,16,11,5
en.wikipedia.org,27:02.4,16,11,38
mail.ru,27:02.4,16,11,204
as.com,27:02.7,16,11,5
instagram.com,27:02.8,16,11,3
ebay.co.uk,27:02.8,16,11,Request timed out
microsoft.com,27:06.3,16,11,Request timed out
ja.wikipedia.org,27:10.3,16,11,38
hm.com,27:10.4,16,11,6
epfindia.gov.in,27:10.5,16,11,Request timed out
amazon.in,27:14.3,16,11,113
magazineluiza.com.br,27:14.5,16,11,3
detik.com,27:14.5,16,11,260
cdc.gov,27:14.8,16,11,Request timed out
detik.com,27:18.4,16,11,259
linkedin.com,27:18.6,16,11,4
m.wikipedia.org,27:18.6,16,11,34
americanas.com.br,27:18.7,16,11,Request timed out
mayoclinic.org,27:22.4,16,11,Request timed out
nytimes.com,27:26.4,16,11,72
amazon.com,27:26.6,16,11,38
allegro.pl,27:26.6,16,11,141
gsmarena.com,27:26.8,16,11,138
canva.com,27:26.9,16,11,13
hepsiburada.com,27:26.9,16,11,150
ilovepdf.com,27:27.1,16,11,14
instagram.com,27:27.1,16,11,3
medicalnewstoday.com,27:27.1,16,11,4
accuweather.com,27:27.2,16,11,6
de.wikipedia.org,27:27.2,16,11,36
aliexpress.com,27:27.2,16,11,118
cnn.com,27:27.4,16,11,4
nl.wikipedia.org,27:27.4,16,11,35
kinopoisk.ru,27:27.5,16,11,149
marca.com,27:27.7,16,11,112
imdb.com,27:27.8,16,11,36
ikea.com,27:27.8,16,11,13
hm.com,27:27.9,16,11,6
craigslist.org,27:27.9,16,11,29
indiatimes.com,27:27.9,16,11,5
indeed.com,27:28.0,16,11,15
fr.wikipedia.org,27:28.0,16,11,40
allegro.pl,27:28.1,16,11,142
cnn.com,27:28.2,16,11,4
medlineplus.gov,27:28.2,16,11,4
accuweather.com,27:28.3,16,11,5
amazon.fr,27:28.3,16,11,112
collinsdictionary.com,27:28.4,16,11,24
amazon.co.jp,27:28.5,16,11,56
hm.com,27:28.6,16,11,8
amazon.in,27:28.6,16,11,112
espn.com,27:28.7,16,11,3
aliexpress.com,27:28.7,16,11,117
americanas.com.br,27:28.9,16,11,Request timed out
es.wikipedia.org,27:32.8,16,11,36
facebook.com,27:32.9,16,11,4
ebay.com,27:32.9,16,11,Request timed out
naver.com,27:36.8,16,11,Request timed out
espncricinfo.com,27:40.9,16,11,Request timed out
investing.com,27:44.9,16,11,13
cookpad.com,27:44.9,16,11,6
omegle.com,27:44.9,16,11,15
mail.yahoo.com,27:45.0,16,11,Request timed out
nike.com,27:48.9,16,11,5
cambridge.org,27:48.9,16,11,34
amazon.it,27:48.9,16,11,116
nytimes.com,27:49.1,16,11,20
medlineplus.gov,27:49.1,16,11,9
mercadolivre.com.br,27:49.1,16,11,5
dailymotion.com,27:49.2,16,11,107
amazon.in,27:49.3,16,11,114
cricbuzz.com,27:49.4,16,11,254
dictionary.com,27:49.7,16,11,4
clevelandclinic.org,27:49.8,16,11,27
hm.com,27:49.8,16,11,5
mail.yahoo.com,27:49.9,16,11,Request timed out
amazon.es,27:53.9,16,11,110
espncricinfo.com,27:54.0,16,11,Request timed out
indiatimes.com,27:57.8,16,11,5
nytimes.com,27:57.9,16,11,3
de.wikipedia.org,27:57.9,16,11,37
es.wikipedia.org,27:57.9,16,11,34
bestbuy.com,27:58.0,16,11,399
apple.com,27:58.4,16,11,69
hotstar.com,27:58.5,16,11,4
medicalnewstoday.com,27:58.6,16,11,4
brainly.co.id,27:58.6,16,11,15
ikea.com,27:58.6,16,11,14
ndtv.com,27:58.7,16,11,7
ndtv.com,27:58.7,16,11,6
fandom.com,27:58.7,16,11,5
pinterest.com,27:58.8,16,11,9
etsy.com,27:58.8,16,11,5
amazon.in,27:58.8,16,11,113
magazineluiza.com.br,27:58.9,16,11,7
booking.com,27:59.0,16,11,Request timed out
ar.wikipedia.org,28:02.9,16,11,35
espncricinfo.com,28:02.9,16,11,Request timed out
india.com,28:06.9,16,11,8
booking.com,28:06.9,16,11,Request timed out
bbc.co.uk,28:10.8,16,11,31
cnn.com,28:10.9,16,11,15
indiamart.com,28:10.9,16,11,40
live.com,28:11.0,16,11,19
linkedin.com,28:11.0,16,11,9
en.wikipedia.org,28:11.1,16,11,95
nih.gov,28:11.2,16,11,Request timed out
amazon.it,28:14.9,16,11,109
goal.com,28:15.0,16,11,Request timed out
kompas.com,28:18.8,16,11,Request timed out
gsmarena.com,28:22.9,16,11,136
ilovepdf.com,28:23.0,16,11,23
homedepot.com,28:23.1,16,11,27
magazineluiza.com.br,28:23.1,16,11,19
facebook.com,28:23.3,16,11,6
dailymail.co.uk,28:23.3,16,11,9
fr.wikipedia.org,28:23.4,16,11,50
investing.com,28:23.5,16,11,14
americanas.com.br,28:23.5,16,11,Request timed out
booking.com,28:27.4,16,11,Request timed out
amazon.co.uk,28:31.3,16,11,110
facebook.com,28:31.5,16,11,4
collinsdictionary.com,28:31.5,16,11,15
clevelandclinic.org,28:31.5,16,11,27
omegle.com,28:31.6,16,11,15
investing.com,28:31.6,16,11,16
booking.com,28:31.6,16,11,Request timed out
mercadolivre.com.br,28:35.4,16,11,5
live.com,28:35.4,16,11,4
bbc.com,28:35.4,16,11,8
globo.com,28:35.4,16,11,145
fr.wikipedia.org,28:35.7,16,11,36
homedepot.com,28:35.8,16,11,17
globo.com,28:35.8,16,11,143
apple.com,28:36.0,16,11,5
google.com,28:36.0,16,11,14
india.com,28:36.0,16,11,6
dictionary.com,28:36.1,16,11,4
mail.ru,28:36.1,16,11,270
booking.com,28:36.5,16,11,Request timed out
