Domain,StartTime,StartDay,StartHour,PingOutput
cdc.gov,23:57.4,16,7,Request timed out
facebook.com,24:01.4,16,7,3
nytimes.com,24:01.4,16,7,8
dailymail.co.uk,24:01.4,16,7,5
amazon.de,24:01.5,16,7,110
cdc.gov,24:01.6,16,7,Request timed out
amazon.es,24:05.3,16,7,109
goal.com,24:05.5,16,7,Request timed out
microsoft.com,24:09.4,16,7,Request timed out
espn.com,24:13.3,16,7,4
ebay.co.uk,24:13.4,16,7,Request timed out
allegro.pl,24:17.4,16,7,136
investing.com,24:17.5,16,7,13
amazon.it,24:17.5,16,7,109
ikea.com,24:17.7,16,7,32
google.com,24:17.7,16,7,14
americanas.com.br,24:17.7,16,7,Request timed out
canva.com,24:21.3,16,7,14
instagram.com,24:21.4,16,7,4
investing.com,24:21.4,16,7,205
microsoft.com,24:21.6,16,7,Request timed out
healthline.com,24:25.4,16,7,6
es.wikipedia.org,24:25.4,16,7,35
goal.com,24:25.4,16,7,Request timed out
amazon.com,24:29.4,16,7,37
medlineplus.gov,24:29.4,16,7,3
ebay.com,24:29.4,16,7,Request timed out
twitter.com,24:33.3,16,7,89
britannica.com,24:33.5,16,7,Request timed out
medicalnewstoday.com,24:37.4,16,7,5
merriam-webster.com,24:37.4,16,7,5
booking.com,24:37.4,16,7,Request timed out
accuweather.com,24:41.4,16,7,5
amazon.de,24:41.4,16,7,110
pinterest.com,24:41.5,16,7,4
cnn.com,24:41.5,16,7,4
fandom.com,24:41.6,16,7,5
google.com,24:41.6,16,7,14
ndtv.com,24:41.6,16,7,6
clevelandclinic.org,24:41.7,16,7,31
medlineplus.gov,24:41.7,16,7,3
milliyet.com.tr,24:41.7,16,7,159
mail.yahoo.com,24:41.9,16,7,Request timed out
apple.com,24:45.9,16,7,5
milliyet.com.tr,24:45.9,16,7,159
india.com,24:46.0,16,7,9
mail.ru,24:46.1,16,7,203
amazon.es,24:46.4,16,7,110
hotstar.com,24:46.5,16,7,4
indeed.com,24:46.6,16,7,13
indiatimes.com,24:46.6,16,7,4
cricbuzz.com,24:46.6,16,7,252
apple.com,24:46.9,16,7,5
hepsiburada.com,24:46.9,16,7,150
twitter.com,24:47.1,16,7,89
clevelandclinic.org,24:47.2,16,7,28
healthline.com,24:47.2,16,7,4
cnn.com,24:47.2,16,7,4
amazon.fr,24:47.3,16,7,112
hotstar.com,24:47.4,16,7,5
bestbuy.com,24:47.4,16,7,34
homedepot.com,24:47.5,16,7,13
indeed.com,24:47.5,16,7,30
investopedia.com,24:47.5,16,7,4
twitter.com,24:47.6,16,7,88
instagram.com,24:47.7,16,7,3
byjus.com,24:47.7,16,7,14
mail.ru,24:47.7,16,7,217
gsmarena.com,24:47.9,16,7,129
healthline.com,24:48.1,16,7,5
americanas.com.br,24:48.1,16,7,Request timed out
en.wikipedia.org,24:51.8,16,7,41
healthline.com,24:51.9,16,7,3
merriam-webster.com,24:51.9,16,7,4
ikea.com,24:51.9,16,7,13
linkedin.com,24:52.0,16,7,5
youtube.com,24:52.0,16,7,14
apple.com,24:52.0,16,7,6
linkedin.com,24:52.1,16,7,4
cricbuzz.com,24:52.1,16,7,252
craigslist.org,24:52.3,16,7,29
booking.com,24:52.4,16,7,Request timed out
healthline.com,24:56.4,16,7,4
pinterest.com,24:56.4,16,7,4
hepsiburada.com,24:56.4,16,7,149
espncricinfo.com,24:56.5,16,7,Request timed out
allegro.pl,25:00.3,16,7,127
finance.yahoo.com,25:00.5,16,7,Request timed out
espncricinfo.com,25:04.4,16,7,Request timed out
americanas.com.br,25:08.3,16,7,Request timed out
twitter.com,25:12.4,16,7,89
pinterest.com,25:12.5,16,7,4
detik.com,25:12.5,16,7,Request timed out
en.wikipedia.org,25:16.3,16,7,102
cricbuzz.com,25:16.5,16,7,252
hepsiburada.com,25:16.7,16,7,150
britannica.com,25:16.9,16,7,Request timed out
live.com,25:20.9,16,7,6
ilovepdf.com,25:20.9,16,7,13
milliyet.com.tr,25:20.9,16,7,158
twitter.com,25:21.1,16,7,89
facebook.com,25:21.2,16,7,3
pinterest.com,25:21.2,16,7,4
booking.com,25:21.2,16,7,Request timed out
fandom.com,25:24.8,16,7,5
goal.com,25:24.9,16,7,Request timed out
investing.com,25:28.9,16,7,13
cnn.com,25:28.9,16,7,4
linkedin.com,25:28.9,16,7,3
goal.com,25:28.9,16,7,Request timed out
m.wikipedia.org,25:32.8,16,7,34
amazon.com,25:32.9,16,7,37
m.wikipedia.org,25:32.9,16,7,35
ilovepdf.com,25:33.0,16,7,13
globo.com,25:33.0,16,7,142
twitter.com,25:33.3,16,7,89
facebook.com,25:33.4,16,7,3
de.wikipedia.org,25:33.4,16,7,34
india.com,25:33.5,16,7,5
ebay.com,25:33.5,16,7,Request timed out
m.wikipedia.org,25:37.4,16,7,130
detik.com,25:37.5,16,7,303
aliexpress.com,25:37.8,16,7,118
amazon.co.jp,25:38.0,16,7,59
amazon.in,25:38.1,16,7,111
cnn.com,25:38.2,16,7,3
cricbuzz.com,25:38.2,16,7,252
finance.yahoo.com,25:38.5,16,7,Request timed out
byjus.com,25:42.4,16,7,15
espn.com,25:42.4,16,7,4
mail.yahoo.com,25:42.4,16,7,Request timed out
marca.com,25:46.4,16,7,108
ar.wikipedia.org,25:46.5,16,7,34
magazineluiza.com.br,25:46.5,16,7,3
microsoft.com,25:46.6,16,7,Request timed out
id.wikipedia.org,25:50.3,16,7,35
linkedin.com,25:50.4,16,7,3
dailymail.co.uk,25:50.4,16,7,5
nike.com,25:50.5,16,7,4
m.wikipedia.org,25:50.5,16,7,34
amazon.de,25:50.5,16,7,111
cricbuzz.com,25:50.7,16,7,251
goal.com,25:50.9,16,7,Request timed out
onet.pl,25:54.9,16,7,5
medlineplus.gov,25:54.9,16,7,5
id.wikipedia.org,25:54.9,16,7,37
india.com,25:55.0,16,7,5
en.wikipedia.org,25:55.0,16,7,37
ndtv.com,25:55.0,16,7,5
collinsdictionary.com,25:55.1,16,7,13
ar.wikipedia.org,25:55.1,16,7,35
