Domain,StartTime,StartDay,StartHour,PingOutput
magazineluiza.com.br,33:23.6,14,23,3
espn.com,33:23.7,14,23,3
facebook.com,33:23.7,14,23,7
en.wikipedia.org,33:23.7,14,23,34
adobe.com,33:23.8,14,23,4
magazineluiza.com.br,33:23.8,14,23,4
indiamart.com,33:23.8,14,23,27
hurriyet.com.tr,33:23.9,14,23,160
es.wikipedia.org,33:24.1,14,23,35
ebay.co.uk,33:24.1,14,23,Request timed out
dailymotion.com,33:27.7,14,23,105
hurriyet.com.tr,33:27.8,14,23,158
onet.pl,33:28.0,14,23,3
hurriyet.com.tr,33:28.0,14,23,159
de.wikipedia.org,33:28.2,14,23,35
omegle.com,33:28.2,14,23,13
m.wikipedia.org,33:28.2,14,23,34
indiamart.com,33:28.3,14,23,14
india.com,33:28.3,14,23,4
britannica.com,33:28.3,14,23,Request timed out
bestbuy.com,33:32.2,14,23,29
hepsiburada.com,33:32.3,14,23,150
britannica.com,33:32.4,14,23,Request timed out
collinsdictionary.com,33:36.2,14,23,15
bbc.co.uk,33:36.2,14,23,4
indiatimes.com,33:36.2,14,23,4
pinterest.com,33:36.3,14,23,4
google.com,33:36.3,14,23,13
espncricinfo.com,33:36.3,14,23,Request timed out
m.wikipedia.org,33:40.2,14,23,36
gsmarena.com,33:40.2,14,23,135
booking.com,33:40.4,14,23,Request timed out
epfindia.gov.in,33:44.2,14,23,Request timed out
ja.wikipedia.org,33:48.2,14,23,34
magazineluiza.com.br,33:48.2,14,23,4
bestbuy.com,33:48.2,14,23,30
facebook.com,33:48.3,14,23,3
amazon.in,33:48.3,14,23,112
indeed.com,33:48.4,14,23,13
ilovepdf.com,33:48.5,14,23,14
amazon.co.jp,33:48.5,14,23,54
medlineplus.gov,33:48.6,14,23,3
nih.gov,33:48.6,14,23,Request timed out
mail.ru,33:52.2,14,23,288
byjus.com,33:52.6,14,23,13
dailymotion.com,33:52.7,14,23,105
de.wikipedia.org,33:52.8,14,23,34
bbc.com,33:52.8,14,23,4
linkedin.com,33:52.9,14,23,4
youtube.com,33:52.9,14,23,14
india.com,33:52.9,14,23,5
homedepot.com,33:53.0,14,23,14
kompas.com,33:53.0,14,23,Request timed out
booking.com,33:56.7,14,23,Request timed out
milliyet.com.tr,34:00.7,14,23,159
byjus.com,34:00.8,14,23,14
espn.com,34:00.9,14,23,4
ja.wikipedia.org,34:00.9,14,23,35
dailymotion.com,34:00.9,14,23,110
amazon.de,34:01.1,14,23,110
m.wikipedia.org,34:01.2,14,23,35
pinterest.com,34:01.2,14,23,4
brainly.co.id,34:01.3,14,23,14
cambridge.org,34:01.3,14,23,12
naver.com,34:01.3,14,23,Request timed out
indiamart.com,34:05.2,14,23,14
ebay.com,34:05.2,14,23,Request timed out
investopedia.com,34:09.2,14,23,5
facebook.com,34:09.2,14,23,3
apple.com,34:09.2,14,23,4
medlineplus.gov,34:09.2,14,23,4
healthline.com,34:09.2,14,23,4
detik.com,34:09.3,14,23,306
cnn.com,34:09.6,14,23,5
epfindia.gov.in,34:09.7,14,23,Request timed out
bestbuy.com,34:13.7,14,23,29
india.com,34:13.7,14,23,4
indiatimes.com,34:13.8,14,23,5
byjus.com,34:13.8,14,23,13
pinterest.com,34:13.8,14,23,4
craigslist.org,34:13.8,14,23,29
etsy.com,34:13.9,14,23,5
gsmarena.com,34:13.9,14,23,135
naver.com,34:14.1,14,23,Request timed out
allegro.pl,34:17.7,14,23,134
kinopoisk.ru,34:17.8,14,23,153
aliexpress.com,34:18.1,14,23,116
healthline.com,34:18.3,14,23,3
accuweather.com,34:18.3,14,23,5
fr.wikipedia.org,34:18.3,14,23,35
kompas.com,34:18.4,14,23,Request timed out
amazon.fr,34:22.2,14,23,110
flipkart.com,34:22.4,14,23,230
cricbuzz.com,34:22.7,14,23,254
espn.com,34:22.9,14,23,3
nih.gov,34:23.0,14,23,Request timed out
accuweather.com,34:26.7,14,23,5
epfindia.gov.in,34:26.7,14,23,Request timed out
nl.wikipedia.org,34:30.7,14,23,36
onet.pl,34:30.7,14,23,4
fandom.com,34:30.8,14,23,5
naver.com,34:30.8,14,23,Request timed out
hurriyet.com.tr,34:34.7,14,23,159
hepsiburada.com,34:34.8,14,23,150
amazon.com,34:35.0,14,23,37
live.com,34:35.1,14,23,4
investopedia.com,34:35.1,14,23,4
id.wikipedia.org,34:35.1,14,23,35
naver.com,34:35.1,14,23,Request timed out
amazon.de,34:38.7,14,23,110
cnn.com,34:38.8,14,23,4
google.com,34:38.8,14,23,14
detik.com,34:38.8,14,23,263
en.wikipedia.org,34:39.1,14,23,35
microsoft.com,34:39.2,14,23,Request timed out
kompas.com,34:43.2,14,23,Request timed out
cookpad.com,34:47.2,14,23,4
ebay.co.uk,34:47.2,14,23,Request timed out
amazon.com,34:51.2,14,23,38
amazon.co.jp,34:51.2,14,23,56
investopedia.com,34:51.3,14,23,4
globo.com,34:51.3,14,23,142
amazon.fr,34:51.5,14,23,110
twitter.com,34:51.6,14,23,41
milliyet.com.tr,34:51.7,14,23,161
mail.ru,34:51.8,14,23,203
mayoclinic.org,34:52.0,14,23,Request timed out
omegle.com,34:55.7,14,23,13
bbc.co.uk,34:55.7,14,23,3
detik.com,34:55.7,14,23,252
amazon.com,34:56.0,14,23,38
magazineluiza.com.br,34:56.0,14,23,4
nike.com,34:56.1,14,23,3
amazon.it,34:56.1,14,23,109
nl.wikipedia.org,34:56.2,14,23,35
nytimes.com,34:56.3,14,23,4
cambridge.org,34:56.3,14,23,12
allegro.pl,34:56.3,14,23,135
cambridge.org,34:56.5,14,23,13
medicalnewstoday.com,34:56.5,14,23,4
flipkart.com,34:56.5,14,23,230
india.com,34:56.8,14,23,5
facebook.com,34:56.8,14,23,5
instagram.com,34:56.8,14,23,4
apple.com,34:56.8,14,23,5
indiatimes.com,34:56.9,14,23,5
amazon.es,34:56.9,14,23,109
brainly.co.id,34:57.0,14,23,14
google.com,34:57.1,14,23,14
amazon.fr,34:57.1,14,23,110
bestbuy.com,34:57.2,14,23,29
mayoclinic.org,34:57.3,14,23,Request timed out
instagram.com,35:01.2,14,23,5
britannica.com,35:01.2,14,23,Request timed out
booking.com,35:05.2,14,23,Request timed out
byjus.com,35:09.2,14,23,18
aliexpress.com,35:09.2,14,23,116
cambridge.org,35:09.4,14,23,12
as.com,35:09.4,14,23,5
bbc.com,35:09.4,14,23,4
kinopoisk.ru,35:09.5,14,23,152
cricbuzz.com,35:09.6,14,23,251
goal.com,35:09.9,14,23,Request timed out
es.wikipedia.org,35:13.7,14,23,36
merriam-webster.com,35:13.7,14,23,3
amazon.es,35:13.7,14,23,109
amazon.de,35:13.9,14,23,111
amazon.it,35:14.0,14,23,109
mail.yahoo.com,35:14.1,14,23,Request timed out
amazon.fr,35:17.7,14,23,110
nike.com,35:17.8,14,23,4
dailymail.co.uk,35:17.8,14,23,4
dailymotion.com,35:17.9,14,23,106
ikea.com,35:18.0,14,23,13
magazineluiza.com.br,35:18.0,14,23,3
pinterest.com,35:18.1,14,23,4
ilovepdf.com,35:18.1,14,23,15
indeed.com,35:18.1,14,23,13
homedepot.com,35:18.1,14,23,13
indeed.com,35:18.2,14,23,14
byjus.com,35:18.2,14,23,13
apple.com,35:18.2,14,23,4
cdc.gov,35:18.2,14,23,Request timed out
it.wikipedia.org,35:22.2,14,23,35
cdc.gov,35:22.3,14,23,Request timed out
apple.com,35:26.2,14,23,108
merriam-webster.com,35:26.3,14,23,4
cricbuzz.com,35:26.3,14,23,252
espncricinfo.com,35:26.6,14,23,Request timed out
youtube.com,35:30.2,14,23,14
homedepot.com,35:30.2,14,23,13
dictionary.com,35:30.2,14,23,5
americanas.com.br,35:30.2,14,23,Request timed out
nl.wikipedia.org,35:34.2,14,23,36
amazon.com,35:34.2,14,23,38
apple.com,35:34.3,14,23,3
booking.com,35:34.3,14,23,Request timed out
indiamart.com,35:38.2,14,23,13
accuweather.com,35:38.2,14,23,5
hepsiburada.com,35:38.2,14,23,150
instagram.com,35:38.4,14,23,3
mail.ru,35:38.4,14,23,203
dailymail.co.uk,35:38.6,14,23,4
kompas.com,35:38.7,14,23,Request timed out
kompas.com,35:42.7,14,23,Request timed out
byjus.com,35:46.7,14,23,14
britannica.com,35:46.7,14,23,Request timed out
omegle.com,35:50.7,14,23,13
kompas.com,35:50.7,14,23,Request timed out
amazon.in,35:54.7,14,23,109
adobe.com,35:54.8,14,23,4
adobe.com,35:54.8,14,23,5
instagram.com,35:54.9,14,23,3
medicalnewstoday.com,35:54.9,14,23,4
ikea.com,35:54.9,14,23,13
amazon.es,35:54.9,14,23,110
bbc.com,35:55.0,14,23,4
linkedin.com,35:55.1,14,23,4
hotstar.com,35:55.1,14,23,3
investing.com,35:55.1,14,23,13
nl.wikipedia.org,35:55.2,14,23,34
amazon.com,35:55.2,14,23,37
dailymotion.com,35:55.3,14,23,105
facebook.com,35:55.4,14,23,3
byjus.com,35:55.4,14,23,13
amazon.com,35:55.4,14,23,37
indiamart.com,35:55.5,14,23,13
medlineplus.gov,35:55.5,14,23,3
mail.yahoo.com,35:55.5,14,23,Request timed out
fandom.com,35:59.2,14,23,4
ebay.com,35:59.2,14,23,Request timed out
magazineluiza.com.br,36:03.2,14,23,4
dailymail.co.uk,36:03.2,14,23,5
medlineplus.gov,36:03.3,14,23,3
ikea.com,36:03.3,14,23,13
espn.com,36:03.3,14,23,7
google.com,36:03.4,14,23,120
detik.com,36:03.5,14,23,308
ebay.co.uk,36:03.8,14,23,Request timed out
medicalnewstoday.com,36:07.7,14,23,3
collinsdictionary.com,36:07.7,14,23,14
live.com,36:07.8,14,23,4
amazon.in,36:07.8,14,23,109
bbc.com,36:07.9,14,23,4
collinsdictionary.com,36:07.9,14,23,16
nytimes.com,36:07.9,14,23,4
booking.com,36:08.0,14,23,Request timed out
byjus.com,36:11.7,14,23,14
nih.gov,36:11.7,14,23,Request timed out
kompas.com,36:15.7,14,23,Request timed out
microsoft.com,36:19.7,14,23,Request timed out
google.com,36:23.7,14,23,15
investopedia.com,36:23.7,14,23,4
britannica.com,36:23.7,14,23,Request timed out
fandom.com,36:27.7,14,23,3
espncricinfo.com,36:27.7,14,23,Request timed out
amazon.co.jp,36:31.7,14,23,57
americanas.com.br,36:31.8,14,23,Request timed out
dictionary.com,36:35.7,14,23,5
amazon.es,36:35.7,14,23,109
as.com,36:35.8,14,23,4
homedepot.com,36:35.9,14,23,13
booking.com,36:35.9,14,23,Request timed out
etsy.com,36:39.7,14,23,4
dailymotion.com,36:39.7,14,23,105
fandom.com,36:39.8,14,23,4
twitter.com,36:39.8,14,23,40
dailymail.co.uk,36:39.9,14,23,4
ikea.com,36:39.9,14,23,13
globo.com,36:40.0,14,23,141
m.wikipedia.org,36:40.3,14,23,34
adobe.com,36:40.3,14,23,5
espncricinfo.com,36:40.3,14,23,Request timed out
nih.gov,36:44.2,14,23,Request timed out
investing.com,36:48.2,14,23,12
kompas.com,36:48.2,14,23,Request timed out
dictionary.com,36:52.2,14,23,5
espn.com,36:52.2,14,23,8
allegro.pl,36:52.2,14,23,136
omegle.com,36:52.6,14,23,13
merriam-webster.com,36:52.6,14,23,3
mail.ru,36:52.6,14,23,202
cricbuzz.com,36:52.8,14,23,251
medlineplus.gov,36:53.1,14,23,3
mail.yahoo.com,36:53.1,14,23,Request timed out
dailymail.co.uk,36:56.7,14,23,7
indiamart.com,36:56.7,14,23,16
instagram.com,36:56.7,14,23,6
cambridge.org,36:56.7,14,23,14
amazon.es,36:56.8,14,23,110
google.com,36:56.9,14,23,14
epfindia.gov.in,36:56.9,14,23,Request timed out
dictionary.com,37:00.7,14,23,4
nl.wikipedia.org,37:00.7,14,23,34
canva.com,37:00.7,14,23,13
onet.pl,37:00.8,14,23,3
americanas.com.br,37:00.8,14,23,Request timed out
en.wikipedia.org,37:04.7,14,23,50
aliexpress.com,37:04.8,14,23,126
amazon.in,37:04.9,14,23,132
magazineluiza.com.br,37:05.1,14,23,3
as.com,37:05.2,14,23,5
medicalnewstoday.com,37:05.3,14,23,46
accuweather.com,37:05.3,14,23,41
facebook.com,37:05.5,14,23,3
amazon.de,37:05.6,14,23,135
finance.yahoo.com,37:05.7,14,23,Request timed out
linkedin.com,37:09.7,14,23,4
live.com,37:09.7,14,23,4
canva.com,37:09.7,14,23,14
hurriyet.com.tr,37:09.7,14,23,158
finance.yahoo.com,37:09.9,14,23,Request timed out
homedepot.com,37:13.7,14,23,14
amazon.it,37:13.7,14,23,111
dailymotion.com,37:13.8,14,23,105
de.wikipedia.org,37:14.0,14,23,34
linkedin.com,37:14.0,14,23,3
india.com,37:14.0,14,23,6
amazon.in,37:14.1,14,23,112
youtube.com,37:14.2,14,23,14
ilovepdf.com,37:14.2,14,23,14
aliexpress.com,37:14.2,14,23,116
booking.com,37:14.4,14,23,Request timed out
cnn.com,37:18.2,14,23,4
ikea.com,37:18.2,14,23,14
indiamart.com,37:18.2,14,23,17
hotstar.com,37:18.3,14,23,4
hotstar.com,37:18.3,14,23,5
espn.com,37:18.3,14,23,4
