Domain,StartTime,StartDay,StartHour,PingOutput
bestbuy.com,27:19.8,14,19,109
instagram.com,27:19.9,14,19,57
amazon.in,27:19.9,14,19,130
naver.com,27:20.1,14,19,Request timed out
magazineluiza.com.br,27:23.7,14,19,4
cricbuzz.com,27:23.7,14,19,255
canva.com,27:24.0,14,19,13
india.com,27:24.0,14,19,13
omegle.com,27:24.1,14,19,13
id.wikipedia.org,27:24.1,14,19,35
amazon.in,27:24.2,14,19,109
ilovepdf.com,27:24.3,14,19,13
ja.wikipedia.org,27:24.3,14,19,35
facebook.com,27:24.4,14,19,4
amazon.in,27:24.4,14,19,110
mail.ru,27:24.5,14,19,203
merriam-webster.com,27:24.7,14,19,4
etsy.com,27:24.8,14,19,5
india.com,27:24.8,14,19,12
adobe.com,27:24.8,14,19,5
ja.wikipedia.org,27:24.8,14,19,35
ikea.com,27:24.9,14,19,13
flipkart.com,27:24.9,14,19,267
collinsdictionary.com,27:25.3,14,19,18
indiamart.com,27:25.4,14,19,14
dailymail.co.uk,27:25.4,14,19,5
merriam-webster.com,27:25.5,14,19,4
healthline.com,27:25.5,14,19,4
homedepot.com,27:25.5,14,19,14
bestbuy.com,27:25.6,14,19,33
espncricinfo.com,27:25.6,14,19,Request timed out
booking.com,27:29.2,14,19,Request timed out
ebay.co.uk,27:33.2,14,19,Request timed out
nl.wikipedia.org,27:37.2,14,19,35
onet.pl,27:37.2,14,19,3
amazon.fr,27:37.2,14,19,111
kompas.com,27:37.4,14,19,Request timed out
es.wikipedia.org,27:41.2,14,19,35
cricbuzz.com,27:41.2,14,19,254
linkedin.com,27:41.5,14,19,3
india.com,27:41.5,14,19,12
m.wikipedia.org,27:41.5,14,19,34
nih.gov,27:41.6,14,19,Request timed out
fr.wikipedia.org,27:45.2,14,19,36
nih.gov,27:45.2,14,19,Request timed out
amazon.es,27:49.2,14,19,110
apple.com,27:49.3,14,19,4
nike.com,27:49.4,14,19,4
es.wikipedia.org,27:49.4,14,19,34
espn.com,27:49.4,14,19,4
ja.wikipedia.org,27:49.4,14,19,35
cookpad.com,27:49.5,14,19,3
ebay.co.uk,27:49.5,14,19,Request timed out
milliyet.com.tr,27:53.2,14,19,159
globo.com,27:53.3,14,19,141
es.wikipedia.org,27:53.6,14,19,34
ebay.com,27:53.7,14,19,Request timed out
adobe.com,27:57.7,14,19,5
allegro.pl,27:57.7,14,19,135
brainly.co.id,27:58.0,14,19,13
clevelandclinic.org,27:58.0,14,19,27
cookpad.com,27:58.1,14,19,3
dictionary.com,27:58.1,14,19,4
imdb.com,27:58.1,14,19,34
ndtv.com,27:58.2,14,19,5
homedepot.com,27:58.2,14,19,13
americanas.com.br,27:58.2,14,19,Request timed out
marca.com,28:02.2,14,19,111
bbc.co.uk,28:02.3,14,19,4
merriam-webster.com,28:02.3,14,19,3
healthline.com,28:02.3,14,19,3
onet.pl,28:02.4,14,19,3
amazon.de,28:02.4,14,19,110
cambridge.org,28:02.5,14,19,13
ndtv.com,28:02.5,14,19,5
ebay.com,28:02.5,14,19,Request timed out
bbc.co.uk,28:06.2,14,19,5
m.wikipedia.org,28:06.2,14,19,34
investopedia.com,28:06.2,14,19,4
onet.pl,28:06.3,14,19,4
milliyet.com.tr,28:06.3,14,19,159
goal.com,28:06.4,14,19,Request timed out
id.wikipedia.org,28:10.2,14,19,35
merriam-webster.com,28:10.2,14,19,4
gsmarena.com,28:10.2,14,19,134
it.wikipedia.org,28:10.4,14,19,35
instagram.com,28:10.4,14,19,3
britannica.com,28:10.5,14,19,Request timed out
bbc.co.uk,28:14.2,14,19,4
mercadolivre.com.br,28:14.2,14,19,4
accuweather.com,28:14.2,14,19,5
investopedia.com,28:14.3,14,19,3
linkedin.com,28:14.3,14,19,4
healthline.com,28:14.3,14,19,3
booking.com,28:14.3,14,19,Request timed out
hotstar.com,28:18.2,14,19,4
bbc.com,28:18.2,14,19,4
amazon.es,28:18.2,14,19,110
m.wikipedia.org,28:18.3,14,19,35
instagram.com,28:18.4,14,19,3
indiatimes.com,28:18.4,14,19,7
dailymail.co.uk,28:18.4,14,19,5
espn.com,28:18.5,14,19,3
